Geneid,K70_1,K70_2,K70_3,K70MD_1,K70MD_2,K70MD_3,K70P10_1,K70P10_2,K70P10_3,NKO70_1,NKO70_2,NKO70_3
PDE5A,259,379,291,117,131,159,376,341,157,171,176,186
LOC107986192,17,13,16,11,15,19,19,13,15,4,5,13
LOC105377396,0,0,0,0,0,4,4,1,0,0,0,0
LOC105377397,0,0,0,0,0,0,0,0,0,0,0,0
LINC01365,0,0,0,0,0,0,0,0,0,0,0,0
LINC02502,3,3,1,1,0,10,1,0,3,4,1,0
MAD2L1,3050,3547,2509,6524,8620,7942,1663,1383,4341,4577,4406,4338
PRDM5,6,1,2,6,5,7,4,8,5,4,0,7
LOC105377399,1,0,0,0,0,0,0,0,0,0,0,0
NDNF,0,0,1,0,2,0,0,0,3,0,0,0
LOC105377400,0,0,0,0,0,0,0,0,0,0,0,0
TNIP3,2,0,0,1,5,3,2,0,0,0,0,0
QRFPR,9,5,7,7,17,5,9,14,26,16,2,7
LOC107986309,0,0,0,0,0,0,0,0,0,0,0,0
LOC107986310,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377401,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377402,0,0,0,0,1,0,0,0,0,0,0,0
ANXA5,6709,7550,5742,8491,9391,10690,6490,5989,9202,9134,8042,8832
TMEM155,0,0,0,0,0,0,0,0,0,0,0,0
PP12613,0,0,0,0,0,0,0,0,0,0,0,0
EXOSC9,1279,1508,1152,1112,1248,1303,1206,1214,1330,1738,1506,1766
CCNA2,5107,5947,4474,4834,5512,5768,3099,3277,4340,6890,6131,6636
BBS7,267,343,219,251,290,335,527,497,348,329,277,302
TRPC3,0,7,8,2,2,6,7,5,5,5,0,6
LOC102724158,0,0,0,0,0,0,0,0,0,0,0,0
LOC112268469,1,5,0,1,1,0,2,4,6,5,3,1
KIAA1109,130,218,150,29,28,68,487,435,29,51,57,89
ADAD1,0,0,0,0,1,1,0,0,0,0,0,0
IL2,0,0,0,1,0,2,0,0,0,0,0,0
IL21,0,0,0,1,0,1,0,0,4,0,2,0
IL21-AS1,1,4,0,10,3,16,14,14,13,5,4,1
BBS12,170,199,165,367,389,382,209,197,286,190,177,166
CETN4P,7,12,26,81,83,63,19,24,40,10,11,21
FGF2,1074,1380,928,847,1040,1059,1981,1971,1349,1428,1298,1344
NUDT6,364,431,303,419,587,490,518,470,462,391,414,359
SPATA5,180,263,154,48,96,76,334,311,108,157,211,227
LOC105377404,0,1,0,0,0,0,2,1,0,0,0,0
SPRY1,49,66,38,21,26,34,56,66,33,41,38,42
LINC02435,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377405,0,0,0,0,0,0,0,0,0,0,0,0
LINC01091,1,9,9,7,11,4,11,5,8,0,5,4
LOC105377407,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377406,1,0,1,0,0,0,0,0,0,1,1,0
LOC105377408,0,0,0,0,0,0,0,0,0,0,0,0
LINC02516,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD50,717,953,704,99,71,173,1038,903,231,520,528,660
FAT4,193,274,212,86,94,135,451,493,65,83,91,110
MIR2054,0,0,0,0,0,0,0,0,0,0,0,0
LINC02379,0,0,0,1,0,0,0,0,0,0,0,0
LOC105377409,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377410,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377411,0,0,0,0,1,0,0,0,0,0,0,0
LOC102724210,0,0,0,0,0,4,0,0,0,0,0,0
LOC107986312,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377412,12,3,4,5,15,11,4,4,6,3,6,14
LOC105377413,25,15,19,3,13,4,25,26,9,6,16,11
INTU,256,303,271,246,267,256,271,239,239,296,229,260
SLC25A31,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377414,0,0,0,0,0,0,0,0,0,0,0,0
HSPA4L,1246,1444,1017,328,336,387,2241,2167,585,844,890,1047
PLK4,398,484,367,164,153,205,594,498,207,414,339,412
MFSD8,297,351,227,375,441,472,248,249,346,335,331,363
ABHD18,112,153,124,162,146,154,282,292,151,127,134,112
LARP1B,296,370,258,193,170,216,557,563,190,266,250,282
PGRMC2,1398,1702,1268,699,889,1059,2020,1847,893,1193,1061,1445
LINC02615,30,41,28,42,35,10,28,9,32,22,13,32
LOC101927259,0,0,0,0,0,0,0,0,0,0,0,0
JADE1,399,529,347,174,188,226,524,575,197,427,351,498
SCLT1,275,355,265,306,341,356,288,332,282,394,349,340
C4orf33,79,86,81,159,166,163,78,63,122,71,74,86
LOC105377416,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377417,0,0,0,0,0,0,0,0,0,0,0,0
LINC02466,0,0,0,0,0,0,0,0,0,0,0,0
LINC02465,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377418,0,0,0,0,0,0,0,0,0,0,0,0
LINC02479,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377422,0,0,0,0,0,0,0,0,0,1,0,0
LOC105377423,0,0,0,0,0,0,0,0,0,0,0,0
LINC02377,0,0,0,0,0,0,0,0,0,0,0,0
SNHG27,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377425,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377428,3,2,0,0,0,11,2,4,5,0,2,1
LOC107986236,5,0,1,2,1,0,1,2,2,2,1,0
LINC01256,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377431,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377432,0,0,0,0,0,2,0,0,0,0,0,0
LOC101927359,0,1,0,0,0,0,0,1,0,0,0,0
PCDH10,2,11,10,7,16,16,26,19,3,3,0,7
PABPC4L,0,0,0,0,0,1,0,0,1,0,0,0
LINC02462,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377436,0,0,0,3,0,0,0,0,2,0,0,0
LOC105377438,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377437,0,0,0,0,0,0,0,0,0,0,0,0
LINC02485,2,0,0,0,0,0,0,0,0,0,0,0
LINC00613,0,0,0,0,0,0,0,0,0,0,0,0
LINC02511,4,0,2,5,1,0,0,1,0,0,0,0
LINC02510,0,0,0,0,1,3,0,0,0,0,0,1
LOC105377442,0,0,0,0,0,0,0,0,0,0,0,0
PCDH18,449,595,423,192,226,299,728,659,202,344,292,336
LINC02172,0,0,0,2,0,0,0,0,0,0,0,0
LOC101927414,0,0,0,2,0,0,0,0,0,0,0,0
LOC107986314,0,0,1,4,6,4,0,0,0,0,0,0
LOC105377444,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377445,1,0,0,0,0,0,3,0,1,0,0,0
LOC107986315,0,0,1,0,0,0,0,0,0,2,0,0
LOC105377447,0,0,0,0,0,0,0,1,1,0,0,0
LINC00616,0,0,0,0,1,0,0,0,1,0,0,0
SLC7A11-AS1,218,277,217,21,16,25,182,209,78,66,111,119
SLC7A11,4626,5760,3994,589,667,820,3721,3140,1515,2213,1982,2219
LINC00498,0,0,0,0,0,1,0,0,0,1,0,1
LINC00499,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377448,0,0,0,0,0,0,0,0,0,0,0,0
NOCT,98,141,97,140,178,243,595,642,153,68,63,97
ELF2,273,352,240,128,151,174,520,505,190,223,257,224
LOC105379412,0,0,0,1,0,0,0,0,3,0,0,0
MGARP,5,1,2,1,4,1,3,1,0,2,2,6
NDUFC1,1350,1684,1208,1591,1951,2050,835,654,1623,1761,1728,1759
NAA15,1215,1406,1069,147,178,259,2051,2111,419,646,690,977
LOC105377449,1,3,1,2,2,2,9,2,0,4,0,1
LOC107984036,16,21,19,11,6,6,27,12,25,16,21,31
RAB33B,329,424,327,382,410,430,420,342,416,343,334,351
SETD7,1087,1311,977,285,403,486,1708,1719,800,997,941,1014
LOC105377451,0,0,0,1,2,2,0,0,0,0,0,0
LOC105377622,1,3,8,4,0,2,11,9,0,0,0,2
LOC101927490,0,0,0,0,0,2,3,0,0,0,0,0
MGST2,5,13,7,16,29,23,11,10,18,4,3,8
MAML3,8,10,7,1,6,1,3,7,1,1,8,6
LOC105377452,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927516,0,0,0,0,0,0,0,0,0,0,0,0
SCOC,1991,2195,1600,3131,3771,3559,1065,960,2324,2512,2233,2247
SCOC-AS1,9,8,4,23,15,32,5,1,10,26,2,11
CLGN,4,9,7,5,6,18,17,21,16,1,5,11
MGAT4D,0,0,0,0,0,0,0,0,0,0,0,0
ELMOD2,536,519,434,421,588,509,386,356,421,562,542,606
UCP1,0,0,0,5,1,0,0,0,0,1,1,0
TBC1D9,203,224,147,60,53,81,697,709,123,112,83,121
TNRC18P1,0,3,0,0,0,0,1,0,0,0,0,0
RNF150,8,5,13,5,1,9,10,16,6,2,1,4
ZNF330,213,294,200,152,186,201,398,349,257,246,239,311
LINC02432,1,1,3,0,0,1,0,1,2,1,0,1
LINC02276,0,0,0,0,0,0,0,0,0,0,0,0
IL15,27,38,26,25,33,44,32,24,42,39,15,11
INPP4B,456,612,498,318,259,299,737,784,376,575,510,592
LOC101927613,1,0,1,1,3,1,1,0,3,1,1,0
LOC105377457,0,0,0,0,1,0,0,0,0,0,0,0
LOC107986194,0,0,0,2,0,0,0,0,0,0,0,0
LOC105377623,1,1,1,0,1,0,1,4,1,4,1,0
USP38,783,920,732,381,491,521,810,731,721,901,892,784
GAB1,135,146,172,35,47,90,256,306,87,51,51,59
MIR3139,0,0,0,0,0,0,0,0,0,0,0,0
SMARCA5,1463,1785,1221,289,410,495,3240,3302,533,771,748,1120
SMARCA5-AS1,192,265,166,28,62,78,433,477,83,103,104,162
GUSBP5,0,0,0,0,0,0,0,0,0,0,0,0
FREM3,0,0,0,6,4,1,0,3,0,0,0,0
LOC105377458,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377459,2,0,0,0,0,0,0,0,0,0,0,0
GYPE,3,5,2,3,2,2,1,11,5,5,0,4
LOC101927636,0,0,1,0,0,0,0,0,0,0,0,0
GYPB,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377460,0,0,0,0,0,0,0,0,0,0,0,0
GYPA,0,0,0,0,0,1,0,0,0,0,0,0
LOC107986317,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377461,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377462,0,0,0,0,0,0,0,0,0,0,0,0
HHIP-AS1,3,2,11,5,18,23,9,17,24,11,5,2
HHIP,24,22,14,22,42,49,64,74,38,22,29,56
ANAPC10,507,667,437,578,735,784,380,376,571,737,615,700
ABCE1,3452,4105,3156,2957,3142,3518,3278,3209,3164,4407,4284,4749
OTUD4,562,700,517,127,132,267,807,830,277,376,408,499
LOC105377465,0,0,0,0,0,0,0,0,0,0,0,0
LINC02266,3,8,3,8,5,15,1,4,9,7,2,5
SMAD1,481,487,403,249,233,331,415,371,424,576,444,574
SMAD1-AS2,0,0,0,0,0,0,0,0,0,0,0,0
SMAD1-AS1,112,116,74,49,41,50,97,87,87,129,121,122
LOC285422,0,0,0,0,0,0,0,0,0,0,0,0
LINC02491,0,0,0,0,0,0,0,0,0,0,0,0
MMAA,77,89,75,75,55,52,84,50,46,78,78,65
C4orf51,17,14,11,0,10,10,52,44,4,8,9,6
ZNF827,46,43,29,6,21,28,95,99,23,11,19,16
LOC105377468,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377469,0,0,0,0,0,0,0,0,0,0,0,0
LINC01095,0,0,0,3,0,1,0,1,0,0,0,0
LOC105377470,0,0,0,0,0,0,0,1,0,0,0,0
LSM6,450,485,293,352,494,381,198,138,405,799,693,617
REELD1,0,0,0,0,2,0,0,0,0,0,0,0
SLC10A7,114,83,72,50,44,45,67,49,36,97,80,123
LOC105377472,0,0,0,1,2,0,1,1,0,1,0,0
MIR7849,0,0,0,0,0,0,0,0,0,0,0,0
POU4F2,0,0,0,0,0,0,0,0,0,0,0,0
TTC29,1,1,4,3,2,4,0,0,1,3,1,0
LOC105377474,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377473,0,0,1,13,18,24,6,0,2,5,6,3
LOC105377475,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377476,0,0,0,0,0,0,0,0,0,0,0,0
MIR548G,0,0,0,0,0,0,0,0,0,0,0,0
EDNRA,1,0,0,0,3,1,0,0,2,0,0,0
LOC105377478,0,0,0,0,0,0,0,0,0,0,0,0
LINC02507,0,0,0,0,0,0,0,0,0,0,0,0
TMEM184C,563,605,531,289,429,436,936,859,467,647,508,626
PRMT9,241,318,212,150,149,145,468,483,175,172,179,232
ARHGAP10,292,286,268,117,115,133,409,356,178,243,241,245
MIR4799,0,0,0,0,0,0,0,0,0,0,0,0
NR3C2,6,20,11,0,3,6,24,19,2,9,10,3
LOC102724672,0,0,0,2,0,0,0,0,0,0,0,0
LOC107986195,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377483,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377481,0,3,0,0,0,0,0,0,0,1,0,0
LOC105377480,0,0,0,0,0,0,0,0,0,0,0,0
LINC02430,0,0,0,0,0,0,0,0,0,0,0,0
LINC02355,0,0,0,0,0,0,0,0,0,0,0,0
LOC107986320,0,0,0,0,0,0,0,0,0,0,0,0
IQCM,11,7,5,0,0,4,4,8,4,7,1,4
LOC105377479,0,0,3,0,0,0,0,0,0,0,0,3
DCLK2,112,109,86,40,57,98,303,246,80,48,43,60
LRBA,739,783,680,173,159,243,874,860,267,401,412,465
LOC729558,0,0,0,0,0,0,0,0,0,0,0,0
MAB21L2,0,0,0,0,0,0,0,0,0,0,0,0
RPS3A,37725,42262,30342,60128,78613,70210,12088,11180,40742,55270,51677,49022
SNORD73B,0,0,0,1,0,0,0,0,0,0,0,0
SNORD73A,0,0,0,0,0,0,0,0,0,0,0,0
SH3D19,549,753,519,110,107,197,1441,1538,257,403,366,469
LOC107986196,31,55,34,3,7,7,72,78,13,26,13,16
LOC105377485,1,0,0,0,0,0,0,0,0,0,0,0
PRSS48,0,0,0,0,3,0,0,0,0,0,0,0
FAM160A1-DT,18,31,19,17,45,19,108,80,29,22,13,17
FAM160A1,301,397,249,40,75,81,694,611,132,160,175,247
GATB,501,628,385,294,372,353,497,457,407,559,493,557
LOC107986197,0,2,1,0,0,3,0,3,0,0,0,0
LOC105377488,0,0,0,1,0,1,0,0,0,0,0,0
LOC102724700,0,0,0,0,1,0,0,0,0,0,0,0
LOC100505685,0,0,0,0,2,1,0,1,0,0,0,0
LINC02273,6,8,0,2,21,3,17,15,12,1,2,0
LOC105377490,1,10,0,0,3,2,0,2,2,0,0,0
LOC105377489,3,0,0,0,1,0,0,6,0,4,0,0
LOC105377492,0,0,0,0,0,0,7,3,2,0,0,0
FBXW7,229,298,237,82,75,117,865,844,188,165,179,200
FBXW7-AS1,16,22,24,11,8,18,70,58,19,8,18,14
MIR3140,0,0,0,0,0,0,0,0,0,0,0,0
MIR4453HG,13,28,23,1,1,12,23,26,4,32,12,32
MIR4453,0,0,0,0,0,0,0,0,0,0,0,0
TMEM154,16,19,14,27,36,39,70,73,41,17,21,18
LOC105377495,2,0,4,2,4,5,0,0,2,0,0,2
TIGD4,24,24,12,21,10,22,11,20,17,20,23,24
ARFIP1,577,654,536,636,648,681,593,610,697,717,691,726
LOC729870,4,6,8,28,15,31,8,5,14,6,4,7
FHDC1,28,51,25,26,16,39,182,206,22,26,13,9
TRIM2,595,728,591,114,115,182,984,890,171,237,229,363
LOC105377496,0,0,0,0,0,0,5,0,1,0,0,0
ANXA2P1,12,35,14,26,22,14,9,20,28,36,34,43
MND1,387,514,358,419,483,590,368,312,476,504,471,537
TMEM131L,181,205,208,87,68,114,595,619,82,98,90,131
LOC105377498,0,0,0,0,0,0,0,0,1,0,0,0
LOC100419170,0,0,0,0,0,0,2,0,0,0,0,0
TLR2,0,0,0,1,0,1,0,0,0,1,0,0
RNF175,0,0,0,3,10,4,0,3,0,1,0,0
LOC105377499,0,0,0,2,2,0,0,0,0,0,0,0
SFRP2,1,0,2,0,3,0,0,0,10,0,0,0
LOC101927947,1,0,5,3,2,7,3,15,0,0,2,0
DCHS2,24,21,18,22,35,34,103,90,29,18,21,11
PLRG1,1161,1584,1099,1248,1409,1591,1666,1572,1595,1292,1270,1335
FGB,0,1,0,0,0,3,0,1,2,0,0,1
FGA,0,0,0,0,0,5,3,2,0,0,0,0
FGG,5,1,1,9,4,3,6,10,8,3,1,0
LRAT,5,7,1,1,1,7,11,10,4,1,3,1
LOC105377500,0,0,0,0,0,0,0,0,0,0,0,0
RBM46,0,0,0,0,7,1,0,0,0,0,0,0
LOC105377501,0,0,0,0,0,0,0,0,0,0,0,0
NPY2R,0,2,0,0,0,0,0,0,0,0,0,0
LOC107986321,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377502,0,0,0,0,0,0,0,0,0,0,0,0
MAP9,167,183,106,28,34,47,613,546,55,74,60,76
LOC102724776,12,15,4,1,1,1,39,22,2,4,2,5
LOC105377503,0,0,0,0,0,1,0,0,0,0,0,0
LOC105377505,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377504,0,0,0,0,0,0,0,0,0,0,0,0
GUCY1A1,2,0,0,3,0,0,2,0,1,0,0,0
LOC107984032,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377506,0,0,0,7,0,2,0,0,0,0,0,0
GUCY1B1,2,7,4,1,0,5,4,4,3,1,1,1
ASIC5,0,2,0,0,0,2,1,0,0,0,0,0
LOC105377507,0,0,0,0,3,0,6,1,0,0,0,0
TDO2,1,0,1,0,3,11,2,7,7,4,2,1
CTSO,8,10,18,21,10,27,43,20,17,1,8,15
LOC102724785,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377508,1,0,0,0,0,5,0,0,0,0,0,0
LINC02272,0,0,0,0,0,0,0,1,0,0,0,0
PDGFC,1278,1592,1167,475,573,595,1138,1091,669,1371,1265,1543
GLRB,262,275,229,284,428,446,351,304,360,394,368,381
GRIA2,1,0,0,0,0,0,0,0,0,0,0,0
LOC112268471,0,0,0,3,0,0,0,1,0,0,0,0
LOC107986238,0,0,0,0,0,1,0,0,0,0,0,0
LINC02433,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377509,1,0,0,2,0,1,2,0,0,0,1,0
GASK1B,195,181,190,313,354,317,527,502,344,197,211,231
FAM198B-AS1,42,37,35,32,38,59,102,86,38,25,39,30
LOC101928007,0,0,0,0,0,0,0,0,0,0,0,0
TMEM144,85,123,72,99,142,141,160,139,164,76,99,108
LOC105377510,0,0,0,0,1,0,0,0,4,0,0,0
RXFP1,0,0,3,26,29,15,2,0,1,0,0,0
C4orf46,1344,1659,1271,2829,3010,3674,1180,1043,2018,2004,1831,1773
ETFDH,245,211,213,286,298,419,389,378,239,236,257,228
PPID,1408,1716,1252,1234,1422,1625,1379,1293,1438,1869,1773,1921
FNIP2,214,281,254,106,157,224,1147,1080,279,136,110,135
C4orf45,3,4,4,7,8,23,9,9,9,5,6,3
RAPGEF2,119,194,157,34,55,52,722,657,81,74,60,109
MIR3688-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0,0,0,0,0,0,0
LOC107986324,0,2,0,3,1,3,1,0,0,2,0,0
LOC105379457,0,0,0,0,0,0,0,0,0,0,0,0
LINC02233,0,0,0,0,0,0,0,0,0,0,0,0
LOC107986239,0,0,0,0,0,0,0,0,0,0,0,0
LINC02477,0,1,0,0,0,0,0,0,0,0,0,0
LOC105377513,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377514,0,0,0,0,3,0,0,0,0,0,0,0
LOC105377515,0,0,0,0,0,0,0,0,0,0,0,0
FSTL5,20,14,18,7,9,4,6,10,3,21,30,30
LOC101928052,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377516,0,0,0,2,0,0,0,0,0,0,0,0
MIR4454,0,0,0,0,0,0,0,0,0,0,0,0
NAF1,527,672,585,167,159,192,385,362,262,544,575,609
LOC101928081,0,0,2,0,0,0,1,0,0,0,0,0
LOC105377517,0,0,0,0,0,0,0,0,0,0,0,0
NPY1R,27,44,27,11,19,14,13,15,3,35,22,38
NPY5R,0,0,0,4,2,0,0,0,0,0,0,0
TKTL2,0,0,0,0,0,0,0,0,0,0,0,0
TMA16,706,784,490,522,525,673,496,394,484,797,796,777
MARCHF1,30,43,24,2,4,11,28,18,13,32,16,31
LOC107986325,0,0,0,2,2,0,0,0,0,0,0,0
ANP32C,1,2,1,1,1,0,0,0,0,1,0,4
SMIM31,0,1,0,0,0,1,0,0,0,0,0,0
APELA,0,0,0,0,2,0,0,0,0,0,0,1
TRIM61,0,0,0,0,0,0,1,0,0,0,0,0
FAM218A,5,6,3,10,11,4,8,5,3,5,3,5
TRIM60,0,0,0,0,2,0,0,0,0,0,0,0
TMEM192,443,580,376,467,457,522,710,701,450,436,454,524
KLHL2,198,273,209,127,165,181,426,352,229,231,224,289
GK3P,0,0,0,1,0,3,0,0,1,0,2,0
MSMO1,3252,3610,2750,1671,2030,2187,1286,1082,2720,3947,3585,3624
LOC105377519,0,0,0,0,0,0,0,0,0,0,0,0
CPE,28,42,32,48,66,76,295,238,80,35,17,47
MIR578,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377520,0,0,2,0,0,0,0,0,0,0,0,0
LINC01179,1,1,0,0,5,4,3,3,0,1,0,0
LOC101928131,1,0,1,0,0,2,0,3,0,0,0,0
LOC105377521,3,2,1,0,0,1,0,0,6,1,3,1
TLL1,251,281,202,93,169,109,277,372,133,153,184,212
SPOCK3,29,27,22,36,49,29,49,50,27,22,11,16
LOC105377523,0,0,0,0,0,0,0,0,0,0,0,0
ANXA10,67,101,65,125,206,171,48,40,125,41,47,58
LOC105377524,0,3,0,0,4,0,0,0,0,0,0,0
DDX60,86,117,70,54,67,65,341,309,81,50,40,49
DDX60L,14,16,18,13,13,17,47,63,20,16,8,10
LOC107986198,0,0,4,1,4,4,3,0,3,0,0,0
PALLD,2643,3486,2684,593,761,1155,4917,5032,1050,1454,1427,1848
PALLD-AS1,0,0,0,1,0,0,0,0,0,0,0,0
LOC102723331,0,0,0,0,0,0,0,1,0,1,0,0
CBR4,1083,1208,1090,872,906,1065,1388,1337,737,943,975,983
LOC107986200,0,1,3,0,0,0,0,0,0,0,0,0
LOC105377527,0,1,0,4,0,3,0,4,3,0,0,0
SH3RF1,763,858,586,75,114,174,1337,1156,293,508,413,451
LOC105377529,0,0,0,0,0,0,0,0,0,0,0,0
NEK1,114,137,87,49,42,58,472,410,57,67,66,86
CLCN3,843,1035,821,367,410,490,1458,1421,605,703,613,855
HPF1,583,717,609,651,753,755,545,515,568,644,627,765
LOC107986240,0,0,0,0,0,1,0,0,0,0,0,0
LOC105377530,0,0,0,0,0,0,0,0,0,0,0,0
LINC02275,0,0,0,0,0,0,0,0,0,0,0,0
MFAP3L,21,38,21,18,39,32,59,68,39,17,20,28
MFAP3L,0,0,0,0,0,0,0,1,0,0,0,0
AADAT,65,80,49,35,59,49,94,65,52,71,100,68
LOC107986326,4,10,9,1,4,9,9,4,7,5,11,2
LINC01612,16,30,18,58,95,91,17,10,36,19,20,38
LINC02512,0,0,0,0,0,0,0,0,0,0,0,0
LINC02382,0,0,0,0,0,0,0,0,0,0,0,0
LINC02431,0,0,0,0,0,0,0,0,0,0,0,0
MIR6082,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377534,0,0,0,0,0,0,0,0,0,0,0,0
LINC02504,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377535,0,0,0,0,0,1,0,0,0,0,0,3
LINC02174,0,0,0,0,0,0,0,0,0,0,0,0
LOC441052,0,0,0,0,0,0,0,0,0,0,0,0
GALNTL6,1,0,0,2,3,0,2,2,1,0,0,0
LOC105377537,0,0,0,0,0,0,0,0,0,0,0,0
GALNTL6-AS1,0,0,0,0,0,1,0,0,0,0,0,0
LOC107986201,0,0,0,0,0,0,1,0,0,0,0,0
LOC101930370,136,135,116,112,133,155,158,153,100,160,132,175
GALNT7,1254,1480,1099,392,529,603,1582,1364,594,1230,1121,1431
MIR548T,0,0,0,0,0,0,0,0,0,0,0,0
HMGB2,2641,3200,2196,1139,1348,1594,2814,2273,1537,2875,2762,3014
LOC105377541,1,0,2,0,0,4,8,14,4,3,9,3
SAP30-DT,5,21,3,10,17,6,4,4,4,9,6,13
SAP30,184,228,179,132,174,118,202,173,184,251,229,260
LOC101928383,0,0,0,0,0,0,1,0,0,0,0,0
SCRG1,0,0,0,1,0,0,0,0,0,0,0,0
LOC112268474,0,0,0,0,0,0,0,0,0,0,0,0
LOC112267917,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928409,0,0,0,0,0,0,0,0,1,0,0,0
HAND2,3,7,5,1,0,0,9,5,6,5,1,2
HAND2-AS1,0,2,1,0,0,0,4,1,0,0,0,0
LOC107986203,0,0,0,0,0,0,0,0,0,0,0,0
LINC02269,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377543,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377544,0,0,0,0,1,0,0,0,0,0,0,0
LOC105377546,0,0,0,0,0,0,0,0,0,0,0,0
LOC107986204,0,0,0,0,0,0,0,0,0,0,0,0
LINC02268,0,0,0,0,0,0,0,0,0,0,0,0
FBXO8,287,307,262,363,419,452,222,173,286,359,379,385
CEP44,303,383,276,247,314,305,240,193,188,330,348,353
LOC105377547,0,0,0,0,1,0,0,0,0,0,0,0
MIR4276,0,0,0,0,0,0,0,0,0,0,0,0
HPGD,12,14,11,45,17,7,5,14,14,18,17,26
LOC105377548,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377549,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377551,0,0,0,0,0,0,0,0,0,0,0,0
GLRA3,2,0,0,0,0,0,0,0,0,0,0,0
LOC101928551,0,0,0,0,0,0,0,0,0,0,0,0
ADAM29,0,0,0,0,0,0,0,0,0,1,0,2
LOC105377552,0,0,0,0,0,0,0,0,0,0,0,0
GPM6A,7,5,2,4,0,5,3,1,0,3,0,7
LOC101928590,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984113,0,0,0,0,0,0,0,0,0,0,0,0
WDR17,25,56,43,9,2,2,22,25,11,26,20,31
SPATA4,1,4,3,12,17,15,3,2,8,1,4,0
ASB5,0,0,1,13,11,7,4,5,8,2,1,1
SPCS3,3558,4167,3086,5238,6104,6139,2805,2754,4612,4838,4592,4838
LOC105377555,0,0,0,0,0,0,0,0,0,0,0,0
VEGFC,54,89,38,15,23,16,64,56,57,42,27,46
LINC02509,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377557,0,2,0,0,0,0,0,0,0,1,2,0
NEIL3,599,638,482,1002,1150,1063,473,485,764,670,641,624
LOC105377558,0,0,2,3,0,0,0,2,0,0,1,0
AGA,224,231,195,238,250,259,212,194,241,192,152,207
LOC285500,3,0,1,4,7,5,1,3,0,3,0,1
LOC105377559,0,0,0,0,0,0,0,0,0,0,0,0
LINC01098,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377560,0,0,0,0,0,0,0,0,0,0,0,0
LINC01099,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377561,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377562,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377563,0,0,1,0,0,2,0,0,0,0,0,0
LOC105377564,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377567,0,0,2,0,1,0,0,0,0,0,0,0
LOC105377565,0,0,0,0,0,0,0,0,1,0,0,0
LOC105377568,0,0,0,0,0,0,0,0,0,0,0,0
LINC00290,0,0,0,0,0,0,0,0,0,0,0,0
LINC02500,0,0,0,0,0,2,0,0,0,0,0,0
LOC107986205,0,0,0,0,0,0,0,0,0,0,0,0
TENM3,545,797,544,238,260,383,1536,1523,360,334,297,400
