© 2000-2019 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
SCAP	other	7.69E-05	ATF3,FADS2,FASN,HMGCS1,INSIG1,MVK,OLR1,SCD,SREBF1	126 (11)
SIRT1	transcription regulator	7.86E-05	BIRC3,CD83,CFLAR,DBP,EBI3,FAS,FASN,FBXO32,GBP3,GLI1,IFIT3,IL1B,KIF1A,MVK,OAS1,PHKB,PLEKHA6,RELB,RTP4,SLC7A11,SREBF1,TIMP3	206 (20)
Nfat (family)	group	8.03E-05	ATF3,CFLAR,DAAM1,DHRS9,FAS,FHL1,HBEGF,PDCD1LG2,RELB,TUBB3	 
HSF1	transcription regulator	8.26E-05	CCN2,CFLAR,CRYAB,DHRS2,FASN,FGF1,HSPA1A/HSPA1B,HSPB2,IL1B,IL7R,MICB,PTOV1,SCD,SREBF1,TEX15	200 (18)
MYC	transcription regulator	8.29E-05	AKAP12,CAMK2N1,CASP1,CASP10,CD274,CFLAR,CGB3 (includes others),CRYAB,CSPG4,CTSV,DDIT4,DFFB,DUSP4,DUSP5,EBI3,ECM1,EMP1,EOMES,FADS2,FAS,FASN,FBLN5,FBXO32,FSTL1,GBP3,GPC1,GPC3,HLA-B,HOTAIR,ID3,IFI35,IFI6,IFIT3,ISG20,LGR5,LOR,NOCT,OAS1,PLP1,SCEL,SOX2,SQOR,TGM1,TKT,TP53I3	158 (14)
PAF1	other	8.33E-05	BIRC3,CITED2,IFIT3,ISG20,MXD1,RAET1L,ULBP2	 
PI3K (complex)	complex	8.46E-05	ATF3,BIRC3,CCN2,CD274,CFLAR,DAPP1,DDIT4,FBLN5,FBXO32,GLI1,HBEGF,IL1B,IL1RN,IL7R,ITGB2,PMEL,SREBF1,TUBB3	167 (22)
ESR2	ligand-dependent nuclear receptor	8.49E-05	AKAP12,ANO2,ASB2,ATF3,CCN2,CCN5,CHST2,CLDN1,CNN1,COL16A1,DAB2,EPHA3,FASN,FHL1,GJB3,GRPR,IL1B,LOR,MUC1,MXD1,SERTAD4,SRXN1,TMEM229B,TP53I3,ULBP2	181 (14)
NKX2-3	transcription regulator	8.69E-05	ANGPTL4,ARHGDIB,BCYRN1,CASP1,CRYAB,GDF15,HCP5,HLA-B,HOXD1,IL7R,MCTP1,PAPSS2,REEP1,RTP4,TRIM22	 
TP73	transcription regulator	8.75E-05	ANGPTL4,ATF3,CASP1,CCN5,CD83,CRYAB,DBP,DDIT4,DRAM1,FAS,FASN,GBX1,HBEGF,HSPA1A/HSPA1B,IL1B,MMP28,SERPINB6,SPINK2,TIMP3,TNFAIP2,TP53I3,TRIM22	143 (11)
MAP2K1	kinase	8.96E-05	ANKRD1,AREG,ATF3,BIRC3,CCN2,CD274,CFLAR,CRYAB,DAB2,DUSP5,FASN,GPRC5B,MYH2,PLP1	166 (20)
cis-urocanic acid	chemical drug	9.03E-05	AKR1C1/AKR1C2,CLDN1,CRYAB,HSPA1A/HSPA1B,NCF2	 
MFSD2A	transporter	9.03E-05	FADS2,FASN,INSIG1,SCD,SREBF1	 
DL-fructose	chemical - endogenous mammalian	9.34E-05	FASN,GPD1,SCD,SREBF1	 
pioglitazone	chemical drug	9.40E-05	ACE2,ANGPTL4,CCN2,CITED2,DFFB,FBP1,IL1B,IL1RN,MUC1,NCEH1,NCF2,NR4A3,SREBF1	162 (17)
tretinoin	chemical - endogenous mammalian	9.47E-05	AKAP12,ANGPTL4,AREG,ASB2,ATP6V0A4,BIRC3,C1S,CASP1,CCN2,CD274,CEACAM1,CGB3 (includes others),CITED2,CLDN1,CPE,CRABP1,CTSS,DAB2,DHRS9,DIO3,DUSP4,EBI3,FASN,GDF15,GJB4,GJB5,GLI1,HBEGF,HLA-B,HOXD1,HSD17B6,ID3,IFI35,IFI6,IFIT3,IL1B,ITGB2,MMP28,NCF2,OAS1,PGD,PLP1,RASGRF1,RTP4,RXRG,SCD,SERPINB8,SLC18A3,SLC7A11,SLCO2A1,SOX2,SREBF1,STRA6,TGM1,TNFAIP2,TRIM22,TUBB3,VAV1	188 (18)
HGF	growth factor	1.03E-04	AKAP12,ANGPTL4,ATF3,BIRC3,CASP1,CASP10,CCN2,CFLAR,CITED2,CRYAB,DUSP4,EMP1,FOSB,HBEGF,IL15RA,IL1B,INSIG1,ISG20,NR4A3,PHLDA2,SOX2,SPRY2,TIMP3,TNFAIP2,XCR1	196 (19)
RXRA	ligand-dependent nuclear receptor	1.05E-04	AKR1C1/AKR1C2,CGB3 (includes others),CRYAB,CTSS,ECM1,FADS2,FASN,FSTL1,GPD1,HBEGF,IL1B,INSIG1,MID1IP1,OLR1,RXRG,SCD,SREBF1,STRA6	99 (14)
IFNAR1	transmembrane receptor	1.07E-04	ATF3,CD274,HMGCS1,IFI6,IFIT3,IL1B,LAMP3,OAS1,RTP4,TNFAIP2,TRIM22,UBD	100 (13)
H2AFB3 (includes others)	other	1.08E-04	ATF3,DHRS2,DHRS9,EFNA1,LIPH,SAA1,TNFRSF9	 
deferoxamine	chemical drug	1.11E-04	ANGPTL4,CFLAR,CITED2,DUSP5,ECM1,FASN,GDF15,HSPA1A/HSPA1B,IFI6,ISG20,ITGB2,PLA2G3,SERPINB8,SREBF1	165 (17)
JUN	transcription regulator	1.16E-04	AKAP12,ATF3,BIRC3,CCN2,CD274,CFLAR,CYP2J2,DUSP5,FAS,FBLN5,HLA-B,HSPB2,IL1B,IL7R,LGR5,LOR,NBPF10 (includes others),NCF2,RASGRF1,RELB,SAA1,SCD,SOX2,TIMP3	177 (14)
SBDS	other	1.22E-04	AKR1C1/AKR1C2,AKR1C3,CCN2,CRABP1,FBXO32,KIF1A,LGR5,MAFF,UBE2QL1	 
xanthohumol	chemical drug	1.31E-04	BIRC3,FASN,IL1B,LY96,SCD,SREBF1	124 (14)
MBTPS1	peptidase	1.33E-04	FASN,IHH,SCD,SREBF1	97 (6)
FSTL1	other	1.33E-04	CASP1,FSTL1,GDF15,IL1B	 
palmitic acid	chemical - endogenous mammalian	1.43E-04	ATF3,BIRC3,CCN2,CPE,FASN,FBXO32,GDF15,IL1B,IL1RN,NCF2,NR4A3,OLR1,SCD,SREBF1,VIPR2	192 (21)
NFkB (complex)	complex	1.59E-04	ANKRD1,ATF3,BIRC3,CCN2,CD274,CD83,CFLAR,DBP,DUSP5,EFNA1,EOMES,FAS,FGF1,GDF15,HDAC9,HOTAIR,IL15RA,IL1B,IL1RN,IL7R,MTSS1,NCF2,OLR1,RELB,RFTN1,SAA1,TNFAIP2,TNFRSF9,UBD	198 (17)
etoposide	chemical drug	1.61E-04	ACHE,ATF3,BIRC3,CD274,CFLAR,DDIT4,DFFB,DUSP4,FAS,FASN,GDF15,IL1B,RELB,TP53I3	154 (18)
RXRB	ligand-dependent nuclear receptor	1.61E-04	CRYAB,CTSS,ECM1,FASN,FSTL1,HBEGF,IL1B,SREBF1	90 (9)
IKBKB	kinase	1.66E-04	ANKRD1,ATF3,BIRC3,CCN2,CFLAR,FAS,FASN,GBP3,GLI1,IL1B,IL1RN,NOCT,RELB,TIMP3,TNFAIP2,TNFRSF9,TRPC1	142 (16)
ginsenoside Rb1	chemical - endogenous non-mammalian	1.83E-04	FASN,HBEGF,SCD,SREBF1	72 (7)
RGCC	other	1.83E-04	FASN,IL1B,SCD,SREBF1	 
10E,12Z-octadecadienoic acid	chemical - endogenous mammalian	1.86E-04	ANKDD1A,ATF3,CREB5,FASN,GDF15,IL1B,IL1RN,KLF14,NR4A3,RASGRF1,SCD,SREBF1	118 (16)
F Actin	complex	1.92E-04	CCN2,CTSS,CTSV	 
OBP2B	transporter	1.92E-04	FASN,SCD,SREBF1	 
ATF4	transcription regulator	2.08E-04	ANKRD1,AREG,ATF3,DDIT4,FASN,GDF15,IHH,MID1IP1,SLC7A11,SREBF1,TKT,XDH	58 (4)
IRF1	transcription regulator	2.18E-04	CASP1,CD274,CEACAM1,CTSS,HOTAIR,IFI35,IFI6,IFIT3,IL1B,OAS1,PDCD1LG2,TRIM22,UBD	123 (13)
AKT1	kinase	2.31E-04	AKR1B10,AKR1C1/AKR1C2,ANKRD1,BIRC3,CFLAR,CTSV,FAS,FASN,FBXO32,FOSB,FSTL1,GDF15,HMGCS1,NEXN,PLP1,SCD,SREBF1	167 (20)
MAP3K14	kinase	2.36E-04	BIRC3,CFLAR,FAS,FASN,IL1B,IL7R,RELB,SREBF1	128 (13)
bortezomib	chemical drug	2.39E-04	ATF3,BIRC3,CASP1,CCN5,CFLAR,CRYAB,DMD,FAS,GDF15,GLI1,HSPA1A/HSPA1B,IL1B,SAA1,SREBF1,SRXN1	192 (17)
TP63	transcription regulator	2.40E-04	AREG,CEACAM1,CFLAR,CITED2,DDIT4,EMID1,EMP1,FAS,FASN,HBEGF,ID3,IHH,IL1B,LOR,MAFF,MIR205HG,RBMS3,RELB,SLC7A11,TIMP3,TP53I3,ULBP2	153 (14)
IFNB1	cytokine	2.40E-04	CASP1,CD274,CD83,CRYAB,EBI3,GBP3,HMGCS1,IFI6,IFIT3,IL1B,ISG20,NOCT,OAS1,PMEL,RASSF1,SH2D1B,SPRY2	133 (17)
INSIG2	other	2.45E-04	FASN,INSIG1,SCD,SREBF1	122 (9)
MAPK9	kinase	2.47E-04	BIRC3,CCN2,DMD,EOMES,FAS,FASN,HSPB2,IL15RA,IL1B,ISG20,SCD,SREBF1	150 (18)
actinomycin D	biologic drug	2.50E-04	BIRC3,CASP1,CASP10,CCN2,CFLAR,DIO3,DUSP4,FAS,FASN,HBEGF,IL7R,NTF3,TNFAIP2,TNFRSF9,TP53I3	195 (18)
CCNC	other	2.53E-04	FAS,FASN,OTOP1,SCD,SREBF1	8 (2)
BCAP31	transporter	2.53E-04	IL1B,INSIG1,SAA1,SCD,SREBF1	115 (7)
ECSIT	transcription regulator	2.53E-04	CD83,CFLAR,IL1B,IL1RN,RELB	130 (11)
Ca2+	chemical - endogenous mammalian	2.53E-04	ATF3,CD83,DBP,FASN,FLG2,HBEGF,ID3,IL1B,KLK5,LOR,MXD1,MYH2,NR4A3,PADI1,TGM1,TRPC1	189 (21)
imiquimod	chemical drug	2.56E-04	CD274,GLI1,HHIP,IFI35,IL1B,IL1RN,ISG20,ITGB2,OAS1	113 (17)
TLR4	transmembrane receptor	2.66E-04	AREG,ATF3,CD274,CFLAR,CITED2,DAB2,EBI3,EFNA1,FAS,FBXO32,HBEGF,IFIT3,IL15RA,IL1B,ISG20,LYST,NR4A3,RELB,SLC7A11,SMPDL3B	150 (17)
EFNA4	kinase	2.70E-04	CCN2,DUSP4,KRT13,KRT4,LPXN,TGM1	 
SP3	transcription regulator	2.76E-04	AKAP12,ATF3,CEACAM1,CGB3 (includes others),CITED2,DMD,FAS,GDF15,HDAC4,LOR,NCF2,PADI1,SREBF1,TGM1	121 (6)
ETV5	transcription regulator	2.77E-04	CLDN1,EGFL6,FASN,KRT13,KRT23,LAMP3,MID1IP1,SCD,TIMP3	 
SOX2	transcription regulator	3.05E-04	ATF3,CCN2,CCN5,CITED2,CYP2J2,DUSP4,DUSP5,EOMES,GBP3,ID3,INAVA,LOR,MOBP,PLP1,SLC44A1,SOX2,SOX21,STRA6,TGM1,TIMP3,TTYH2,TUBB3,UGT8	131 (7)
lovastatin	chemical drug	3.07E-04	ATF3,BCYRN1,CCN2,FASN,HMGCS1,IL1B,MOBP,MVK,PLP1,RHOU,SREBF1	151 (19)
EFNA3	kinase	3.08E-04	CCN2,DUSP4,KRT13,KRT4,LPXN,TGM1	 
pirinixic acid	chemical toxicant	3.08E-04	AKR1B10,AKR1C3,ANGPTL4,CEACAM1,CGB3 (includes others),CYP2J2,FADS2,FAS,FASN,FBP1,GPD1,HMGCS1,IL1B,IL1RN,INSIG1,MGLL,PPIC,RXRG,SAA1,SCD,SREBF1,ST3GAL5	88 (13)
SFTPA1	transporter	3.09E-04	AKR1C1/AKR1C2,ANGPTL4,CCN2,ECM1,FOSB,HBEGF,IL1B,PMEL	117 (12)
thapsigargin	chemical toxicant	3.12E-04	ATF3,BIRC3,CD83,DDIT4,HSPA1A/HSPA1B,IL1B,INSIG1,ITGB2,NR4A3,OLR1,SLC38A5,SREBF1,STARD5	121 (16)
CREBZF	transcription regulator	3.21E-04	FASN,HSPA1A/HSPA1B,INSIG1,SREBF1	52 (6)
FALEC	other	3.30E-04	ECM1,FAS,TP53I3	118 (6)
methylnitronitrosoguanidine	chemical toxicant	3.59E-04	CASP10,CEACAM1,FAS,GDF15,TP53I3	118 (6)
IGF1	growth factor	3.63E-04	AKR1C1/AKR1C2,APLF,BIRC3,CCN2,CFLAR,CITED2,CNN1,DDIT4,DMD,FASN,FBXO32,FJX1,FOSB,GPD1,IHH,IL1B,KIF1A,NCF2,PLP1,SCD,SOX2,SREBF1,TUBB3	146 (19)
LIPE	enzyme	3.71E-04	ANKRD1,ATF3,CITED2,FASN,HSPA1A/HSPA1B,RXRG,SCD,SREBF1,ST3GAL5,TKT	125 (12)
EFNA5	kinase	3.97E-04	CCN2,DUSP4,KRT13,KRT4,LPXN,TGM1	 
spironolactone	chemical drug	3.98E-04	CCN2,FASN,IL1B,MICB,SCD,SLCO2A1,TIMP3,ULBP2	174 (17)
IL12 (family)	group	4.22E-04	ATF3,CD274,CFLAR,DDIT4,IL1B,RAET1G,RAET1L,SH2D1B,ULBP2,ZBED2	170 (18)
YY1	transcription regulator	4.29E-04	ANKRD1,CAPG,CEND1,CRABP1,CRYAB,DMD,FAS,GPC3,ID3,ID4,IL1B,KCNB1,MYH2,NTF3,SFPQ,VAV1	105 (6)
D-fructose	chemical - endogenous mammalian	4.48E-04	FASN,IL1B,SCD,SREBF1,TIMP3,TKT	143 (11)
NFATC2	transcription regulator	4.60E-04	CD274,CD83,CFLAR,CITED2,CRYAB,DAB2,EBI3,FAS,IFIT3,IL1B,ISG20,PMEL,RELB	198 (17)
INSR	kinase	4.65E-04	ANKRD1,AREG,ARHGDIA,ATF3,CCN2,CD83,CTSV,DIO3,FASN,FBP1,FHL1,HBEGF,HMGCS1,IL1B,MVK,OLR1,PHLDA2,SCD,SREBF1,TFAP2C	159 (21)
HSD17B13	enzyme	4.67E-04	FASN,SREBF1	 
dinophysistoxin 1	chemical toxicant	4.67E-04	CEACAM1,TUBB3	 
PPARG	ligand-dependent nuclear receptor	4.70E-04	ANGPTL4,CCN2,CD274,CGB3 (includes others),FASN,FGF1,GDF15,GPD1,IHH,IL1B,INSIG1,MCTP1,MGLL,MUC1,OLR1,PHKB,PLA2G3,PPIC,SAA1,SCD,SLC44A1,SREBF1,TKT	157 (20)
CNOT7	transcription regulator	4.96E-04	CLDN1,IFI35,IFI6,OAS1,SLC7A11	57 (7)
N-acetyl-L-cysteine	chemical drug	5.19E-04	BIRC3,CASP1,CASP10,CCN2,CFLAR,FAS,FASN,FBXO32,HBEGF,IL1B,LY96,MAP1LC3A,NCF2,OSGIN1	198 (21)
ACACA	enzyme	5.20E-04	FASN,SCD,SREBF1	135 (12)
D-glucose	chemical - endogenous mammalian	5.34E-04	ACE2,ACHE,ATF3,CASP1,CCN2,CFLAR,CNN1,CTSV,DDIT4,DMD,FAS,FASN,FBP1,FBXO32,GDF15,GPD1,IL1B,LY96,MAP1LC3A,MID1IP1,NEXN,NR4A3,RDH16,RELB,SCD,SREBF1,TKT,TUBB3	166 (20)
YAP1	transcription regulator	5.44E-04	ANKRD1,AREG,CCN2,CD274,FASN,FBXO32,FGF1,HMGCS1,IL1B,ITGB2,SOX2	146 (14)
EFNA1	other	5.51E-04	ACHE,CCN2,DUSP4,EPHA3,KRT13,KRT4,TGM1	 
CLOCK	transcription regulator	5.59E-04	ACVR2B,ANGPTL4,ARHGEF28,CCN2,DBP,FASN,FGF1,IHH,MID1IP1,NOCT,RAD23A,SCD,ST3GAL5,TEF,TNFAIP1	17 (2)
ICMT	enzyme	5.78E-04	CCN5,CRABP1,CRYAB,FSTL1,HBEGF	124 (7)
POR	enzyme	6.05E-04	FADS2,FGF1,FLVCR2,HMGCS1,IHH,INSIG1,MVK,NOCT,PGD,SCD,TMEM229B,UBD	 
alitretinoin	chemical drug	6.07E-04	CASP1,CD83,CGB3 (includes others),DHRS9,FASN,KLK5,MUC1,RXRG,SCD,SREBF1,STRA6	105 (15)
SCARB1	transporter	6.33E-04	DDIT4,FASN,FBXO32,IL1B,IL1RN,SREBF1	145 (20)
GLI1	transcription regulator	6.36E-04	C11orf96,FAS,FGF1,FHL1,GLI1,GPC3,HHIP,INSIG1,PAPSS2,PHLDA2,SOX2,TIMP3,TNFRSF9	127 (7)
KCNE3	ion channel	6.61E-04	ACE2,AKR1C3,FOSB,HSPA1A/HSPA1B,OSGIN1,PLP1,RDH16	 
HLX	transcription regulator	6.69E-04	ANKRD1,AREG,CLDN1,CTSS,GDF15	 
JUNB	transcription regulator	6.85E-04	ATF3,CD274,CFLAR,FASN,FBLN5,NCF2,RASGRF1,RELB,SCD,TIMP3	196 (15)
TO-901317	chemical reagent	6.98E-04	ABCA8,CASP1,FADS2,FASN,FBP1,GPD1,IL1B,MGLL,MID1IP1,RDH16,SCD,SREBF1,TIMP3,TKT	141 (18)
rosiglitazone	chemical drug	7.00E-04	ANGPTL4,CCN2,CCN5,CGB3 (includes others),EBI3,EOMES,FASN,FGF1,GPD1,IFIT3,IL1B,IL1RN,IL21R,IL7R,INSIG1,MGLL,MUC1,OAS1,OLR1,SCD,SREBF1,TRIM22	173 (19)
NOTCH1	transcription regulator	7.08E-04	AKR1C1/AKR1C2,ANKRD1,ASB2,BIRC3,CCN2,CFLAR,CNN1,FOSB,GLI1,HEYL,IL7R,LOR,RELB,RHOU,SPRY2	133 (14)
SP1	transcription regulator	7.10E-04	AKAP12,ATF3,CCN2,CEACAM1,CGB3 (includes others),CIRBP,CITED2,CRYAB,DMD,FAS,FASN,GDF15,HBEGF,HDAC4,ID4,IL1B,IL21R,KRT4,LOR,MAZ,NCF2,PADI1,SREBF1,TGM1,TIMP3	155 (16)
PML	transcription regulator	7.11E-04	CPE,FAS,FASN,IFI35,IFIT3,IL1B,ISG20,MAFF,OAS1,SCD,SREBF1	169 (20)
Raf	group	7.22E-04	AREG,DUSP4,GDF15,MAFF,PHLDA2,SPRY2,TFAP2C	140 (12)
MYRF	transcription regulator	7.22E-04	AKR1C3,CCN2,CEACAM1,GDF15,PDCD1LG2,PLP1,RHOU	 
SOCS3	phosphatase	7.46E-04	ATF3,FASN,IL1B,IL1RN,ISG20,OAS1,SCD,SREBF1	163 (18)
SPI1	transcription regulator	7.65E-04	CTSS,DAB2,ID3,IFI6,IFIT3,IL1B,IL1RN,IL7R,ISG20,ITGB2,LAMP3,LMO2,NCF2,TRIM22,VAV1	151 (14)
ARNTL	transcription regulator	7.86E-04	DBP,FASN,IHH,IL1B,SCD,SREBF1	17 (3)
GNA15	enzyme	7.90E-04	AKAP12,CRYAB,DAB2,FBLN5,FHL1,IL1RN,NEXN,OLR1,XDH	 
vemurafenib	chemical drug	7.97E-04	CD274,IL1B,PMEL,SPRY2	113 (7)
MLX	transcription regulator	7.97E-04	FASN,IL1RN,MID1IP1,SCD	5 (2)
RASSF1	other	8.03E-04	AREG,CPE,DAB2,EMP1,GDF15,HBEGF,PROS1,TUBB2A	148 (12)
TCF	group	8.03E-04	ADGRG2,CEACAM1,ECM1,ID3,IHH,LGR5,LMO2,SAA1	130 (7)
Rxr	group	8.42E-04	ANGPTL4,CRABP1,CTSS,EMX1,HBEGF,IL1B,INSIG1,ITGB2,SREBF1	87 (9)
PDX1	transcription regulator	8.85E-04	ACE2,ATF3,CAMK2N1,DUSP5,EFNA1,FBXL17,FGF1,ID3,IL1B,INSIG1,PAPSS2,RHOBTB1	 
IL33	cytokine	8.89E-04	AREG,BIRC3,EBI3,ELMO1,FAS,IL1B,NABP1,PAPSS2,RELB,SLC7A11,ST3GAL5,STX11,TNFAIP2,TNFRSF9	145 (15)
MAPK14	kinase	9.27E-04	ANKRD1,AREG,CD83,CRYAB,DAB2,EFNA1,FAS,FASN,IL1B,SLC18A3,SOX2,SREBF1	152 (15)
NOS2	enzyme	9.27E-04	AZGP1,FAS,FASN,GPD1,IFIT3,IL1B,IL1RN,KRT13,KRT4,LOR,NRTN,TKT	163 (18)
forskolin	chemical toxicant	9.33E-04	ACER2,AKAP12,AKR1B10,AREG,ATF3,CCN2,CGB3 (includes others),CNN1,CRYAB,CTSV,DAB2,DDIT4,EBI3,ECM1,FAS,FBLN5,FOSB,GLI1,GNAL,GPRC5B,HHIP,HSPA1A/HSPA1B,ID3,IL1B,LOR,NR4A3,PROS1,SLC7A11,SRXN1	189 (19)
IRF8	transcription regulator	9.62E-04	ATF3,CD83,CTSS,DAB2,FAS,ID3,IFI6,IFIT3,IL1B,OAS1	145 (14)
MED12	transcription regulator	9.68E-04	ANKRD1,CREB5,GDF15,GLI1	 
ACSS2	enzyme	9.68E-04	CTDSP2,FASN,SCD,SREBF1	 
Ifnar	group	9.94E-04	CASP1,CD274,IFI35,IFIT3,IL1B,ISG20,OAS1,PDCD1LG2	120 (17)
VEGFA	growth factor	1.00E-03	ACHE,CCN2,CD83,CEACAM1,CITED2,CTSS,CTSV,DUSP4,DUSP5,EOMES,FOSB,HBEGF,ID3,IL1B,RASGRP3,TNFRSF9	168 (20)
CASP1	peptidase	1.01E-03	DFFB,FASN,IL1B,SCD,SREBF1	148 (15)
NLRP12	other	1.01E-03	CASP1,HLA-B,IL1B,IL1RN,LY96	168 (12)
Pkc(s)	group	1.02E-03	ATF3,CCN2,CLDN1,CNN1,DBP,DMD,FAS,IL1B,LOR,NR4A3,PSCA,TGM1,ULBP2	199 (22)
carbonyl cyanide m-chlorophenyl hydrazone	chemical toxicant	1.07E-03	CLDN1,CTSV,DDIT4,DUSP5,GDF15,TMEM154	 
CBX5	transcription regulator	1.08E-03	AKR1C3,CEACAM1,CPA4,CYP2J2,MAP1LC3A,OAS1,OLR1,SLC7A7,SYTL2	 
LY6K	other	1.08E-03	CCN2,CD274,PSCA	 
TP53BP2	other	1.08E-03	CCN2,FAS,TP53I3	123 (7)
Sik1	kinase	1.08E-03	FASN,GPD1,SREBF1	 
progesterone	chemical - endogenous mammalian	1.10E-03	AKR1C3,AREG,ATF3,BIRC3,CCN5,CITED2,CRYAB,CTSV,DBP,EFNA1,HBEGF,ID3,IHH,ISG20,LGR5,MTSS1,MUC1,NTF3,PROS1,RYR3,SCD,SREBF1,TGM1,TIMP3,TRPC1,XDH	195 (23)
HRAS	enzyme	1.12E-03	ANKRD1,AREG,ARHGAP26,BIRC3,CAPG,CCDC80,CCN2,CNN1,CTSS,CTSV,FAS,FASN,FHL1,FOSB,FSTL1,FSTL3,GJB3,HLA-B,IL1B,IL7R,LRRC17,NEXN,PPIC,PRXL2A,SPRY2,SREBF1,TIMP3	149 (17)
IKK (complex)	complex	1.16E-03	BIRC3,CFLAR,EOMES,IL1B	170 (16)
oblimersen	biologic drug	1.18E-03	ATF3,IFI35,IFI6,IFIT3,MAFF,OAS1	 
colchicine	chemical drug	1.18E-03	ATF3,CCN2,FAS,IL1B,NTF3,SLC9A8	189 (19)
GW3965	chemical reagent	1.21E-03	DHRS9,FADS2,FASN,GNG2,IL1B,IL1RN,MID1IP1,SCD,SREBF1	156 (18)
N-nitro-L-arginine methyl ester	chemical drug	1.22E-03	ATF3,CCN2,CD83,FAS,IL1B,INSIG1,OLR1,SREBF1	188 (19)
NR1H3	ligand-dependent nuclear receptor	1.26E-03	ATF3,CD274,DHRS9,EBI3,FASN,FBP1,GLI1,IL1B,IL1RN,MID1IP1,SCD,SREBF1,TNFRSF9	116 (18)
PAX3	transcription regulator	1.27E-03	ARHGDIB,CGB3 (includes others),FHL1,GPR1,ID3,ID4,IL7R,LRRC17,MICB,SREBF1,TIMP3,TRPC1	 
IRF7	transcription regulator	1.29E-03	CARD16,GBP3,IFI35,IFI6,IFIT3,IL15RA,ISG20,MICB,OAS1,RTP4,TRIM22	98 (15)
TWIST2	transcription regulator	1.29E-03	DUSP5,FBLN5,IL1B,OSGIN1,SOX2	 
EIF2AK2	kinase	1.30E-03	ATF3,CFLAR,FAS,IFI35,IFI6,IL1B,ISG20,OAS1	121 (18)
IL27	cytokine	1.32E-03	CD274,CFLAR,EOMES,HLA-B,IL15RA,IL1B,IL1RN,OAS1,PDCD1LG2,UBD	166 (17)
AGN194204	chemical drug	1.36E-03	ANGPTL4,ATF3,CCN5,DOCK8,EMP1,GBP3,HTRA3,IL7R,ITGB2,PROS1,SCD,SCIN,STRA6	 
PRKCA	kinase	1.36E-03	ARHGDIB,CCN2,GDF15,HSPA1A/HSPA1B,ID3,IFIT3,INSIG1,PHLDA2,TRPC1	15 (2)
E. coli B4 lipopolysaccharide	chemical toxicant	1.37E-03	CA13,CD274,CD83,CLDN1,FAS,FOSB,IFI35,IFIT3,IL1B,IL1RN,KLHL6,PROS1,RELB,RTP4,TEX15	149 (19)
AMOT	other	1.38E-03	ANKRD1,CCN2	37 (4)
AMOTL2	other	1.38E-03	ANKRD1,CCN2	 
AMOTL1	other	1.38E-03	ANKRD1,CCN2	110 (9)
SLC3A2	transporter	1.38E-03	ANKRD1,CCN2	 
N(1)-guanyl-1,7-diaminoheptane	chemical reagent	1.38E-03	CD83,MVK	 
actinomycin	chemical - endogenous non-mammalian	1.38E-03	PSCA,SAA1	 
alvespimycin	chemical drug	1.38E-03	FASN,HSPA1A/HSPA1B,SCD,SREBF1	 
JINK1/2	group	1.38E-03	FAS,FASN,SCD,SREBF1	159 (20)
IL2	cytokine	1.41E-03	AREG,ARHGDIA,BIRC3,CAMK2N1,CAPG,CASP1,CD274,CD83,CEACAM1,CFLAR,DUSP4,DUSP5,EMP1,EOMES,FAS,GDF15,HSPA1A/HSPA1B,IL1B,IL7R,ISG20,PHLDA2,PROS1,RFTN1,TNFRSF9,VAV1,ZBED2	156 (16)
KDM1A	enzyme	1.42E-03	ARHGDIB,AZGP1,DAPP1,EOMES,FASN,LGR5,RASGRP3,RHOU,SCD,SOX2,SREBF1	60 (8)
decitabine	chemical drug	1.42E-03	AKAP12,ANGPTL4,ANKRD1,ARHGDIB,BIRC3,CCN2,CFLAR,CRTAC1,EGFL6,EPHA3,FAS,GDF15,GPC3,HBEGF,HLA-B,HSPA1A/HSPA1B,HTRA3,IFI35,IL1B,IL7R,LY96,OAS1,RASSF1,RTP4,SOX12,STAG1,TFAP4,TIMP3,TNFRSF9,TUBB3,VTN	195 (20)
P38 MAPK	group	1.43E-03	ATF3,CCN2,CD83,CFLAR,DIO3,FAS,FBXO32,ID3,IL1B,IL1RN,ITGB2,KCNB1,MYH2,NR4A3,SLC18A3,TIMP3,TP53I3,ULBP2	195 (17)
prostaglandin E2	chemical - endogenous mammalian	1.45E-03	ANGPTL4,AREG,ATF3,BIRC3,CASP1,CCN2,CD274,CD83,FAS,FASN,FOSB,FSTL3,IL15RA,IL1B,IL1RN,IL7R	187 (15)
CTSV	peptidase	1.46E-03	CLDN1,CTSV,IL1B	 
APOL1	transporter	1.46E-03	CASP1,IL1B,UBD	 
sphingomyelin	chemical - endogenous mammalian	1.46E-03	FASN,SCD,SREBF1	 
arachidonic acid	chemical - endogenous mammalian	1.49E-03	CD83,FADS2,FAS,FASN,GLI1,SCD,SREBF1,TNFRSF9	145 (19)
SIRT6	enzyme	1.56E-03	BIRC3,DBP,FASN,LIPH,SCD,SREBF1	140 (18)
IRAK4	kinase	1.61E-03	ATF3,BIRC3,DAB2,FOSB,IL1B,NOCT,OLR1	153 (15)
SREBF2	transcription regulator	1.61E-03	FADS2,FASN,HMGCS1,INSIG1,MVK,SCD,SREBF1	161 (17)
fenretinide	chemical drug	1.61E-03	ACER2,ANKRD1,ATF3,CFLAR,IL1B,MUC1,NCF2	120 (11)
