Column 1,K70_1,K70_2,K70_3,K70MD_1,K70MD_2,K70MD_3,K70P10_1,K70P10_2,K70P10_3,NKO70_1,NKO70_2,NKO70_3,Entrez Gene Name,Gene Symbol - human (HUGO / HGNC / Entrez Gene),Location,Type(s),Biomarker Application(s),Drug(s),Entrez Gene ID for Human,Entrez Gene ID for Mouse,Entrez Gene ID for Rat
LOC105376233,2.852071971,9.386823903,9.659405953,167.9095252,170.3633436,153.7336291,17.17035559,23.87143073,134.0075469,11.00423402,20.29779218,15.04408936,uncharacterized LOC105376233,LOC105376233,Other,other,,,,,
LOC105376475,0,0,0,12.43774261,17.43876745,11.47265889,8.28913718,12.90347607,10.55177535,0,0,0.940255585,uncharacterized LOC105376475,LOC105376475,Other,other,,,,,
LOC105376689,4.753453285,4.693411952,3.219801984,18.65661391,32.19464761,21.79805189,31.97238626,40.00077581,11.60695288,5.001924556,3.204914554,6.581789096,uncharacterized LOC105376689,LOC105376689,Other,other,,,,,
LOC105377378,3.802762628,7.040117928,5.366336641,416.6643773,574.1378823,433.6665059,15.98619313,9.677607051,62.25547456,8.003079289,17.09287762,11.28306702,uncharacterized LOC105377378,LOC105377378,Other,other,,,,,
LOC105379051,3.802762628,9.386823903,9.659405953,59.07927738,49.63341506,36.71250844,23.68324908,26.45212594,80.19349265,28.01077751,21.36609703,17.86485612,uncharacterized LOC105379051,LOC105379051,Other,other,,,,,
LOC105379443,1.901381314,2.346705976,3.219801984,23.32076739,53.65774601,63.09962388,13.61786822,10.32278085,13.71730795,7.002694378,9.614743662,10.34281144,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like pseudogene,LOC105379443,Other,other,,,,,
LOC107984104,7.605525255,3.911176626,7.512871297,225.4340847,265.6058427,190.4461375,21.31492418,29.03282115,43.26227893,7.002694378,9.614743662,3.761022341,uncharacterized LOC107984104,LOC107984104,Other,other,,,,,
LOC107984192,0,0,0,9.328306954,10.7315492,18.35625422,6.512893498,7.742085641,10.55177535,0,0,0,uncharacterized LOC107984192,LOC107984192,Other,other,,,,,
LOC107984200,1.901381314,2.346705976,1.073267328,21.76604956,8.048661901,22.94531778,13.025787,20.64556171,12.66213042,6.002309467,1.068304851,11.28306702,uncharacterized LOC107984200,LOC107984200,Other,other,,,,,
LOC107986558,0,0.782235325,2.146534656,12.43774261,10.7315492,19.50352011,18.35451804,19.3552141,9.496597814,1.000384911,1.068304851,1.88051117,uncharacterized LOC107986558,LOC107986558,Other,other,,,,,
LOC107986973,24.71795708,25.03153041,11.80594061,188.1208569,241.459857,226.0113801,89.40426529,89.67915867,137.1730795,9.0034642,14.95626792,13.16357819,uncharacterized LOC107986973,LOC107986973,Other,other,,,,,
LOC389602,0,0.782235325,0,7.773589128,10.7315492,11.47265889,23.09116786,15.48417128,11.60695288,4.001539644,1.068304851,0,uncharacterized LOC389602,LOC389602,Other,other,,,,,
LOR,27.57002905,21.12035378,25.75841588,7.773589128,2.6828873,1.147265889,0,6.451738034,2.11035507,0,0,28.20766756,loricrin,LOR,Cytoplasm,other,unspecified application,,,,
LRRC15,0,0,0,7.773589128,4.024330951,17.20898833,12.43370577,9.032433248,11.60695288,0,1.068304851,0,leucine rich repeat containing 15,LRRC15,Plasma Membrane,other,,,,,
LY96,1.901381314,10.16905923,7.512871297,119.7132726,112.6812666,120.4629183,20.72284295,12.25830226,94.96597814,17.00654349,17.09287762,14.10383378,lymphocyte antigen 96,LY96,Plasma Membrane,transmembrane receptor,,,,,
MAB21L4,15.21105051,2.346705976,13.95247527,105.7208121,105.9740484,91.7812711,52.10314799,34.83938538,43.26227893,11.00423402,1.068304851,10.34281144,mab-21 like 4,MAB21L4,Other,other,,,,,
MAP3K7CL,0.950690657,14.86247118,10.73267328,597.0116451,706.9408037,562.1602855,61.57644762,78.71120402,136.117902,25.00962278,30.98084069,17.86485612,MAP3K7 C-terminal like,MAP3K7CL,Other,other,,,,,
MAP6,25.66864774,42.24070757,35.41782183,135.2604508,195.8507729,255.8402932,388.9973662,422.5888412,111.8488187,51.01963047,29.91253584,28.20766756,microtubule associated protein 6,MAP6,Cytoplasm,other,,,,,
MOBP,23.76726642,10.16905923,13.95247527,1.554717826,1.34144365,3.441797666,2.960406136,3.225869017,2.11035507,0,1.068304851,9.402555852,myelin-associated oligodendrocyte basic protein,MOBP,Cytoplasm,other,,,,,
MROH3P,0,0,0,119.7132726,127.4371468,169.7953515,5.920812271,3.225869017,8.441420279,3.001154733,2.136609703,1.88051117,"maestro heat like repeat family member 3, pseudogene",MROH3P,Other,other,,,,,
MUC1,4.753453285,10.16905923,6.439603969,52.86040607,48.29197141,26.38711544,48.55066062,52.90425188,40.09674633,14.00538876,9.614743662,8.462300267,"mucin 1, cell surface associated",MUC1,Plasma Membrane,other,"diagnosis,disease progression,efficacy,prognosis,unspecified application","anti-CD3/MUC1 bispecific antibody,GO-203-2C,HuHMFG1,pankomab,yttrium y 90 clivatuzumab tetraxetan",,,
MYH2,0.950690657,7.040117928,6.439603969,13.99246043,33.53609126,29.82891311,42.62984835,39.35560201,7.386242744,3.001154733,0,0,myosin heavy chain 2,MYH2,Cytoplasm,enzyme,,,,,
NMNAT2,5.704143941,1.564470651,4.293069313,23.32076739,22.80454205,25.23984955,29.60406136,34.83938538,8.441420279,7.002694378,12.81965822,4.701277926,nicotinamide nucleotide adenylyltransferase 2,NMNAT2,Cytoplasm,enzyme,,,,,
NR4A3,2.852071971,5.475647277,7.512871297,34.20379216,52.31630236,92.92853699,71.64182848,80.64672543,39.04156879,0,2.136609703,0.940255585,nuclear receptor subfamily 4 group A member 3,NR4A3,Nucleus,ligand-dependent nuclear receptor,,,,,
ODAPH,10.45759723,14.08023586,13.95247527,306.2794117,242.8013007,267.3129521,88.81218407,108.389199,245.8563656,49.01886064,40.59558435,24.44664521,odontogenesis associated phosphoprotein,ODAPH,Other,other,,,,,
OLR1,48.4852235,42.24070757,41.8574258,816.2268585,810.2319647,819.1478446,201.3076172,223.230136,258.518496,29.01116242,41.6638892,39.49073458,oxidized low density lipoprotein receptor 1,OLR1,Plasma Membrane,transmembrane receptor,unspecified application,,,,
OPN1SW,19.01381314,32.07164834,26.8316832,3.109435651,1.34144365,5.736329444,5.920812271,5.161390427,2.11035507,16.00615858,12.81965822,12.22332261,"opsin 1, short wave sensitive",OPN1SW,Plasma Membrane,G-protein coupled receptor,,,,,
OTOP1,4.753453285,3.128941301,2.146534656,52.86040607,89.87672457,64.24688977,14.80203068,12.25830226,20.04837316,9.0034642,9.614743662,14.10383378,otopetrin 1,OTOP1,Plasma Membrane,ion channel,,,,,
PDCD1LG2,2.852071971,9.386823903,5.366336641,118.1585548,84.51094996,51.62696499,21.9070054,23.87143073,46.42781153,6.002309467,9.614743662,3.761022341,programmed cell death 1 ligand 2,PDCD1LG2,Plasma Membrane,enzyme,efficacy,"anti PD-L2 antibody,CA-170",,,
PIFO,0,4.693411952,3.219801984,43.53209912,63.04785156,47.03790144,15.39411191,23.87143073,35.87603619,6.002309467,1.068304851,0.940255585,primary cilia formation,PIFO,Cytoplasm,other,,,,,
PLP1,7.605525255,1.564470651,2.146534656,15.54717826,32.19464761,13.76719067,21.31492418,23.87143073,42.2071014,7.002694378,6.409829108,3.761022341,proteolipid protein 1,PLP1,Plasma Membrane,other,,,,,
PRR9,4.753453285,4.693411952,1.073267328,514.6116003,496.3341506,461.2008873,55.65563535,72.90463978,186.7664237,17.00654349,8.546438811,4.701277926,proline rich 9,PRR9,Other,other,,,,,
RAET1G,11.40828788,8.604588578,17.17227725,287.6227977,258.8986245,261.5766226,68.08934112,72.25946598,93.9108006,26.01000769,9.614743662,21.62587846,retinoic acid early transcript 1G,RAET1G,Plasma Membrane,other,,,,,
RAET1L,80.80870584,86.04588578,76.2019803,463.3059121,325.970807,326.9707783,336.8942182,250.9726095,379.8639126,206.0792917,212.5926654,214.3782734,retinoic acid early transcript 1L,RAET1L,Plasma Membrane,other,,,,,
RASGRP3,9.506906569,5.475647277,4.293069313,175.6831143,202.5579912,149.1445655,39.07736099,43.22664483,47.48298907,12.00461893,18.16118247,7.522044681,RAS guanyl releasing protein 3,RASGRP3,Cytoplasm,other,,,,,
RASL10A,0.950690657,7.822353253,3.219801984,21.76604956,26.828873,24.09258366,22.49908663,32.90386397,10.55177535,2.000769822,0,0,RAS like family 10 member A,RASL10A,Plasma Membrane,enzyme,,,,,
RDH16,9.506906569,7.822353253,16.09900992,57.52455955,54.99918966,49.33243322,39.66944222,47.09768765,64.36582963,12.00461893,5.341524257,5.641533511,retinol dehydrogenase 16,RDH16,Cytoplasm,enzyme,,,,,
RFTN1,15.21105051,10.16905923,8.586138625,54.4151239,65.73073886,94.07580288,68.68142235,75.485335,45.372634,17.00654349,29.91253584,22.56613404,"raftlin, lipid raft linker 1",RFTN1,Plasma Membrane,other,,,,,
RFX8,21.86588511,24.24929508,7.512871297,326.4907434,339.3852435,268.460218,76.3784783,94.8405491,162.4973404,66.02540413,63.02998623,74.28019123,"RFX family member 8, lacking RFX DNA binding domain",RFX8,Other,other,,,,,
RTP4,0,0.782235325,0,15.54717826,14.75588015,11.47265889,14.20994945,6.451738034,15.82766302,1.000384911,1.068304851,0,receptor transporter protein 4,RTP4,Plasma Membrane,other,,,,,
RXRG,0,0.782235325,1.073267328,20.21133173,26.828873,24.09258366,8.881218407,7.096911837,13.71730795,1.000384911,1.068304851,0,retinoid X receptor gamma,RXRG,Nucleus,ligand-dependent nuclear receptor,unspecified application,"6-mercaptopurine/methotrexate/tretinoin,acitretin,adapalene,alitretinoin,arsenic trioxide/daunorubicin/tretinoin,arsenic trioxide/gemtuzumab ozogamicin/tretinoin,arsenic trioxide/idarubicin/tretinoin,arsenic trioxide/tretinoin,bexarotene,cytarabine/daunorubicin/gemtuzumab ozogamicin/tretinoin,cytarabine/daunorubicin/tretinoin,cytarabine/idarubicin/tretinoin,daunorubicin/tretinoin,doxorubicin/tretinoin,etretinate,idarubicin/mitoxantrone/tretinoin,idarubicin/tretinoin,theophylline/tretinoin/valproic acid,tretinoin",,,
RYR3,1.901381314,1.564470651,2.146534656,13.99246043,28.17031665,10.325393,13.61786822,20.00038791,7.386242744,7.002694378,10.68304851,3.761022341,ryanodine receptor 3,RYR3,Plasma Membrane,ion channel,unspecified application,,,,
SAA1,61.7948927,68.83670862,59.02970305,2375.608838,2527.279837,2409.258366,306.6980756,278.7150831,751.2864048,82.03156271,44.86880376,60.17635745,serum amyloid A1,SAA1,Extracellular Space,transporter,"diagnosis,unspecified application",,,,
SCEL,7.605525255,17.20917716,1.073267328,51.30568825,52.31630236,60.8050921,171.1114746,198.7135314,34.82085865,16.00615858,10.68304851,33.84920107,sciellin,SCEL,Cytoplasm,other,,,,,
SCIN,8.556215912,3.911176626,3.219801984,74.62645563,67.07218251,82.60314399,32.56446749,36.12973299,17.93801809,6.002309467,6.409829108,6.581789096,scinderin,SCIN,Cytoplasm,other,,,,,
SH2D1B,0,0,0,13.99246043,20.12165475,10.325393,1.776243681,3.225869017,15.82766302,0,1.068304851,0,SH2 domain containing 1B,SH2D1B,Cytoplasm,other,,,,,
SH3TC2-DT,0,0.782235325,0,63.74343085,61.70640791,63.09962388,10.65746209,7.096911837,13.71730795,2.000769822,3.204914554,3.761022341,SH3TC2 divergent transcript,SH3TC2-DT,Other,other,,,,,
SIRPB2,4.753453285,0.782235325,3.219801984,45.08681694,17.43876745,25.23984955,24.86741154,23.87143073,11.60695288,0,1.068304851,0,signal regulatory protein beta 2,SIRPB2,Other,other,,,,,
SLC18A3,0,0,1.073267328,9.328306954,17.43876745,36.71250844,3.552487363,9.677607051,10.55177535,1.000384911,3.204914554,0,solute carrier family 18 member A3,SLC18A3,Plasma Membrane,transporter,,,,,
SLC7A7,9.506906569,12.5157652,5.366336641,219.2152134,234.7526388,217.9805189,43.22192958,39.35560201,88.63491293,3.001154733,2.136609703,1.88051117,solute carrier family 7 member 7,SLC7A7,Plasma Membrane,transporter,,,,,
SLCO5A1,1.901381314,9.386823903,6.439603969,41.97738129,32.19464761,52.77423088,28.4198989,30.96834256,40.09674633,12.00461893,8.546438811,15.98434495,solute carrier organic anion transporter family member 5A1,SLCO5A1,Other,transporter,,,,,
SMPDL3B,1.901381314,2.346705976,3.219801984,51.30568825,33.53609126,39.00704022,53.28731044,49.67838286,31.65532605,2.000769822,2.136609703,0,sphingomyelin phosphodiesterase acid like 3B,SMPDL3B,Extracellular Space,enzyme,,,,,
SPINK2,13.3096692,17.99141248,10.73267328,309.3888473,383.652884,279.9328769,33.15654872,32.25869017,132.9523694,37.01424171,20.29779218,39.49073458,"serine peptidase inhibitor, Kazal type 2",SPINK2,Extracellular Space,other,,,,,
SPINK6,9.506906569,14.08023586,5.366336641,911.0646458,1071.813477,697.5376604,52.10314799,38.7104282,170.9387606,97.03733638,119.6501433,62.99712421,"serine peptidase inhibitor, Kazal type 6",SPINK6,Extracellular Space,other,,,,,
STOML3,0,0,0,13.99246043,4.024330951,10.325393,1.776243681,4.516216624,12.66213042,2.000769822,1.068304851,0.940255585,stomatin like 3,STOML3,Plasma Membrane,other,,,,,
STX11,4.753453285,16.42694183,9.659405953,55.96984172,81.82806266,83.75040988,44.99817326,40.64594961,62.25547456,12.00461893,22.43440188,8.462300267,syntaxin 11,STX11,Plasma Membrane,transporter,,,,,
SYT17,3.802762628,6.257882602,6.439603969,24.87548521,42.92619681,11.47265889,25.45949277,21.93590932,26.37943837,13.00500384,3.204914554,7.522044681,synaptotagmin 17,SYT17,Plasma Membrane,other,,,,,
SYTL2,17.11243182,21.90258911,45.07722778,195.894446,209.2652094,149.1445655,185.9135053,151.6158438,98.13151074,14.00538876,3.204914554,7.522044681,synaptotagmin like 2,SYTL2,Cytoplasm,other,,,,,
TENT5C,38.97831693,25.03153041,27.90495053,262.7473125,221.3382023,239.7785707,125.5212201,101.2922871,220.5321048,24.00923787,29.91253584,16.92460053,terminal nucleotidyltransferase 5C,TENT5C,Extracellular Space,enzyme,,,,,
TEX14,0.950690657,1.564470651,0,146.1434756,123.4128158,130.7883113,21.9070054,20.64556171,17.93801809,4.001539644,5.341524257,5.641533511,"testis expressed 14, intercellular bridge forming factor",TEX14,Plasma Membrane,kinase,,,,,
TEX15,6.654834598,10.95129455,5.366336641,29.53963869,40.24330951,34.41797666,126.1133014,127.0992393,12.66213042,5.001924556,4.273219405,15.04408936,"testis expressed 15, meiosis and synapsis associated",TEX15,Extracellular Space,other,,,,,
TGM1,1.901381314,2.346705976,3.219801984,12.43774261,29.51176031,32.12344489,9.473299634,17.41969269,17.93801809,9.0034642,3.204914554,6.581789096,transglutaminase 1,TGM1,Plasma Membrane,enzyme,,,,,
TGM4,0,2.346705976,0,18.65661391,10.7315492,19.50352011,20.13076172,16.12934509,6.331065209,1.000384911,1.068304851,4.701277926,transglutaminase 4,TGM4,Extracellular Space,enzyme,,,,,
TMPRSS7,9.506906569,3.128941301,3.219801984,161.6906539,253.5328499,175.531681,15.39411191,13.54864987,49.59334414,5.001924556,11.75135336,20.68562287,transmembrane serine protease 7,TMPRSS7,Plasma Membrane,peptidase,,,,,
TNFAIP8L3,7.605525255,5.475647277,3.219801984,91.72835171,89.87672457,71.1304851,17.76243681,28.38764735,66.4761847,6.002309467,13.88796307,10.34281144,TNF alpha induced protein 8 like 3,TNFAIP8L3,Cytoplasm,transporter,,,,,
TNFRSF9,5.704143941,4.693411952,11.80594061,49.75097042,45.60908411,32.12344489,56.8397978,54.19459949,39.04156879,11.00423402,3.204914554,4.701277926,TNF receptor superfamily member 9,TNFRSF9,Plasma Membrane,transmembrane receptor,,"ADG106,anti-CD137 antibody,GEN1046,INBRX 105,PF-05082566,PRS-343,urelumab",,,
TP53I3,217.7081604,218.2436558,211.4336636,1310.627127,1179.128969,968.2924101,767.9293516,711.6267052,1129.039962,278.1070053,321.5597602,279.2559088,tumor protein p53 inducible protein 3,TP53I3,Cytoplasm,enzyme,,,,,
TSPAN11,0,0.782235325,2.146534656,10.88302478,20.12165475,10.325393,10.65746209,15.48417128,14.77248549,3.001154733,9.614743662,1.88051117,tetraspanin 11,TSPAN11,Other,other,,,,,
UBD,6.654834598,2.346705976,7.512871297,65.29814868,72.43795711,82.60314399,20.72284295,15.48417128,67.53136223,5.001924556,4.273219405,8.462300267,ubiquitin D,UBD,Nucleus,other,,,,,
UBE2QL1,0,1.564470651,1.073267328,31.09435651,37.56042221,18.35625422,20.72284295,34.19421158,32.71050358,4.001539644,6.409829108,4.701277926,ubiquitin conjugating enzyme E2 Q family like 1,UBE2QL1,Nucleus,enzyme,,,,,
ULBP2,58.94282073,51.62753147,47.22376244,233.2076739,340.7266872,231.7477095,233.2800035,180.0034911,277.5116917,93.03579673,100.420656,76.1607024,UL16 binding protein 2,ULBP2,Plasma Membrane,transmembrane receptor,,,,,
VIPR2,4.753453285,2.346705976,3.219801984,27.98492086,34.87753491,37.85977433,19.53868049,18.0648665,14.77248549,9.0034642,0,4.701277926,vasoactive intestinal peptide receptor 2,VIPR2,Plasma Membrane,G-protein coupled receptor,,,,,
VSIG1,2.852071971,1.564470651,0,15.54717826,13.4144365,19.50352011,17.76243681,17.41969269,6.331065209,1.000384911,1.068304851,2.820766756,V-set and immunoglobulin domain containing 1,VSIG1,Plasma Membrane,other,,,,,
VTN,0,1.564470651,2.146534656,41.97738129,59.02352061,42.44883788,13.025787,14.83899748,11.60695288,1.000384911,2.136609703,0,vitronectin,VTN,Extracellular Space,other,unspecified application,,,,
VWA5B1,0,0,0,21.76604956,9.390105552,10.325393,4.736649817,5.806564231,4.22071014,0,3.204914554,0,von Willebrand factor A domain containing 5B1,VWA5B1,Extracellular Space,other,,,,,
WSCD2,52.28798613,64.14329667,92.30099022,0,10.7315492,2.294531778,12.43370577,6.451738034,8.441420279,48.01847573,27.77592613,57.3555907,WSC domain containing 2,WSCD2,Other,other,,,,,
ZBED2,181.5819155,221.3725971,200.7009904,1620.015974,1467.539353,1445.55502,1005.946005,967.7607051,1015.080789,539.2074671,487.1470122,473.8888149,zinc finger BED-type containing 2,ZBED2,Other,other,,,,,
ZMYND15,9.506906569,7.822353253,15.02574259,41.97738129,52.31630236,68.83595333,55.65563535,55.48494709,24.2690833,5.001924556,5.341524257,1.88051117,zinc finger MYND-type containing 15,ZMYND15,Other,other,,,,,
