Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
"Cancer,Organismal Injury and Abnormalities"	Melanoma	2.01E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C1QTNF2,C7orf65,CACNA1A,CRABP1,CYP2J2,DAAM1,DAB2,DAPP1,DHRS9,DYDC2,EMILIN2,ERG,FBLN5,FBP1,FLG2,FOSB,GFRA3,GGTLC2,GJB4,GPD1,GRPR,HHLA2,HSD17B6,HSPB2,IL21R,IL31RA,ISM2,ITGB2,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LRRC15,MAP6,MOBP,MYH2,NMNAT2,NR4A3,OTOP1,PIFO,RASGRP3,RASL10A,RDH16,RFTN1,RFX8,RXRG,RYR3,SAA1,SCEL,SCIN,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,STOML3,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,UBD,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZBED2,ZMYND15"	87
"Cell-To-Cell Signaling and Interaction,Hair and Skin Development and Function"	Adhesion of epithelial cell lines	2.07E-04	"DAB2,ITGB2,MUC1,VTN"	4
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease"	Uterine serous papillary cancer	2.41E-04	"ABCA8,CRABP1,ERG,FBLN5,HSD17B6,KCNB1,PLP1,SAA1"	8
"Humoral Immune Response,Protein Synthesis"	Quantity of IgG	2.73E-04	"CTSS,DAPP1,IL21R,ITGB2,PDCD1LG2,RASGRP3,RFTN1,TNFRSF9"	8
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Gastrointestinal carcinoma	2.78E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS9,DNAJC12,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MUC1,MYH2,NR4A3,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,RAET1G,RAET1L,RASGRP3,RFTN1,RXRG,RYR3,SCEL,SCIN,SIRPB2,SLC18A3,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBD,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	101
Cell Morphology	Keratinization	2.89E-04	"KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LOR,SPINK6,TGM1"	7
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Large intestine neoplasm	3.05E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS9,DNAJC12,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MUC1,MYH2,NR4A3,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,RAET1G,RAET1L,RASGRP3,RFTN1,RXRG,RYR3,SCEL,SCIN,SIRPB2,SLC18A3,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBD,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	101
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Concentration of retinol	3.12E-04	"ABCA4,OLR1,RDH16"	3
"Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Hematological System Development and Function,Inflammatory Response"	Efferocytosis of neutrophils	3.63E-04	"SAA1,VTN"	2
Behavior	Sighing	3.63E-04	"CACNA1A,GRPR"	2
"Humoral Immune Response,Protein Synthesis"	Quantity of IgM	3.65E-04	"CTSS,DAPP1,IL21R,ITGB2,PDCD1LG2,TNFRSF9"	6
"Cancer,Organismal Injury and Abnormalities"	Malignant genitourinary solid tumor	3.68E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CTSS,DAB2,DDIT4,DHRS9,DYDC1,EMILIN2,ERG,FBLN5,FLG2,FOSB,GBX1,GFRA3,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,ITGB2,IZUMO4,JPH2,KCNB1,KCNK9,KLHL6,KRT23,LOR,LRRC15,LY96,MAP6,MUC1,MYH2,NMNAT2,NR4A3,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RTP4,RXRG,RYR3,SAA1,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,SPINK2,STOML3,STX11,SYT17,SYTL2,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	88
"Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Metabolism of retinoid	4.39E-04	"ABCA4,CYP2J2,DHRS9,OPN1SW,RDH16"	5
Cell-To-Cell Signaling and Interaction	Attachment of cells	4.62E-04	"ACE2,DAB2,FBLN5,ITGB2,OLR1,VTN"	6
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Malignant neoplasm of large intestine	4.88E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS9,DNAJC12,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MUC1,MYH2,NR4A3,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,RAET1G,RAET1L,RASGRP3,RFTN1,RXRG,RYR3,SCEL,SCIN,SIRPB2,SLC18A3,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBD,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	100
Cell-To-Cell Signaling and Interaction	Attachment of blood cells	5.17E-04	"ACE2,ITGB2,OLR1"	3
Cellular Function and Maintenance	Function of blood cells	5.44E-04	"BIRC3,CTSS,EBI3,ERG,IL21R,IL31RA,ITGB2,LY96,PDCD1LG2,SH2D1B,STX11,TNFRSF9,UBD"	13
Cellular Function and Maintenance	Function of leukocytes	6.64E-04	"BIRC3,CTSS,EBI3,IL21R,IL31RA,ITGB2,LY96,PDCD1LG2,SH2D1B,STX11,TNFRSF9,UBD"	12
"Cellular Function and Maintenance,Hematological System Development and Function"	Function of lymphocytes	6.76E-04	"BIRC3,CTSS,EBI3,IL21R,PDCD1LG2,SH2D1B,STX11,TNFRSF9,UBD"	9
"Cancer,Organismal Injury and Abnormalities"	Anogenital cancer	6.81E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CTSS,DAB2,DDIT4,DHRS9,DYDC1,EMILIN2,ERG,FBLN5,FLG2,FOSB,GBX1,GFRA3,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,IZUMO4,JPH2,KCNB1,KCNK9,KLHL6,KRT23,LRRC15,LY96,MAP6,MUC1,MYH2,NMNAT2,NR4A3,OLR1,OTOP1,PDCD1LG2,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RTP4,RXRG,RYR3,SAA1,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,SPINK2,STOML3,SYT17,SYTL2,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	82
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease"	Genital tract cancer	6.84E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ASB2,ATP13A4,ATP6V0A4,AZGP1,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CTSS,DAB2,DDIT4,DHRS9,DYDC1,ERG,FBLN5,FLG2,GBX1,GFRA3,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,IZUMO4,JPH2,KCNB1,KCNK9,KRT23,LY96,MAP6,MUC1,MYH2,NMNAT2,NR4A3,OLR1,OTOP1,PDCD1LG2,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RTP4,RXRG,RYR3,SAA1,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,STOML3,SYT17,SYTL2,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	75
"Humoral Immune Response,Protein Synthesis"	Quantity of IgG2a	6.95E-04	"IL21R,PDCD1LG2,RASGRP3,RFTN1,TNFRSF9"	5
"Hematological System Development and Function,Humoral Immune Response,Immune Cell Trafficking,Inflammatory Response,Tissue Development"	Accumulation of plasma cells	7.56E-04	"IL21R,ITGB2"	2
"Cellular Compromise,Inflammatory Response"	Degranulation of natural killer cells	7.93E-04	"RAET1G,STX11,ULBP2"	3
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Activation of mononuclear leukocytes	8.20E-04	"DAPP1,IL21R,ITGB2,LY96,NR4A3,PDCD1LG2,PLP1,SAA1,STX11,TNFRSF9,ULBP2,VIPR2"	12
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities"	Genodermatosis	8.80E-04	"CACNA1A,GJB4,KRT83,LOR"	4
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Gastrointestinal tumor	8.88E-04	"ABCA4,ABCA8,ACE2,ADAMTS14,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS9,DNAJC12,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MUC1,MYH2,NR4A3,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,RAET1G,RAET1L,RASGRP3,RFTN1,RXRG,RYR3,SCEL,SCIN,SIRPB2,SLC18A3,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBD,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	103
"Cancer,Organismal Injury and Abnormalities"	Serous adenocarcinoma	9.25E-04	"ABCA8,ASB2,AZGP1,CACNA1A,CRABP1,CRTAC1,DAB2,ERG,FBLN5,HHLA2,HSD17B6,KCNB1,MUC1,PLP1,RAET1G,RYR3,SAA1,TNFRSF9"	18
"Organismal Injury and Abnormalities,Respiratory Disease"	Lung injury	9.26E-04	"AZGP1,DDIT4,IL21R,ITGB2,LY96,MUC1,OLR1"	7
"Endocrine System Disorders,Organismal Injury and Abnormalities,Reproductive System Disease"	Aspermatogenesis	1.05E-03	"TEX14,TEX15,ZMYND15"	3
"Cell Morphology,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Cell spreading of phagocytes	1.25E-03	"ASB2,ITGB2,VTN"	3
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease"	Genital tumor	1.27E-03	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ASB2,ATP13A4,ATP6V0A4,AZGP1,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CTSS,DAB2,DDIT4,DHRS9,DYDC1,ERG,FBLN5,FLG2,GBX1,GFRA3,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,IZUMO4,JPH2,KCNB1,KCNK9,KRT23,LY96,MAP6,MUC1,MYH2,NMNAT2,NR4A3,OLR1,OTOP1,PDCD1LG2,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RTP4,RXRG,RYR3,SAA1,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,STOML3,SYT17,SYTL2,TEX14,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	75
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities"	Gastrointestinal tract cancer	1.33E-03	"ABCA4,ABCA8,ACE2,ADAMTS14,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CEND1,CRABP1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DDIT4,DHRS9,DNAJC12,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,FOSB,GBX1,GFRA3,GJB4,GPD1,GRPR,HHLA2,HOXD1,HSD17B6,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KCNK9,KLHL6,KRT23,KRT83,LCE1E,LCE1F,LIPH,LOR,LRRC15,LY96,MAB21L4,MAP6,MUC1,MYH2,NR4A3,OLR1,OPN1SW,OTOP1,PDCD1LG2,PIFO,PLP1,RAET1G,RAET1L,RASGRP3,RFTN1,RXRG,RYR3,SCEL,SCIN,SIRPB2,SLC18A3,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TENT5C,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TSPAN11,UBD,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	102
Infectious Diseases	Infection of mammalia	1.33E-03	"EBI3,IL21R,IL31RA,ITGB2,LY96,PDCD1LG2,STX11,TNFRSF9,UBD"	9
Lymphoid Tissue Structure and Development	Frequency of lymphocytes	1.38E-03	"EBI3,IL21R,PDCD1LG2,RASGRP3,TNFRSF9"	5
"Cell-To-Cell Signaling and Interaction,Inflammatory Response"	Immune response of leukocytes	1.54E-03	"CTSS,ITGB2,LY96,MUC1,PDCD1LG2,PLP1,SAA1,TNFRSF9,VTN"	9
"Cancer,Organismal Injury and Abnormalities"	Genitourinary carcinoma	1.55E-03	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ASB2,ATP13A4,ATP6V0A4,AZGP1,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CTSS,DAB2,DDIT4,DHRS9,DYDC1,EMILIN2,ERG,FBLN5,FLG2,FOSB,GBX1,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,ITGB2,IZUMO4,JPH2,KCNB1,KCNK9,LRRC15,LY96,MAP6,MUC1,MYH2,NMNAT2,NR4A3,OLR1,OPN1SW,OTOP1,PIFO,PLP1,PRR9,RAET1G,RAET1L,RASGRP3,RTP4,RYR3,SAA1,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,STOML3,STX11,SYT17,SYTL2,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	77
"Cellular Function and Maintenance,Hematological System Development and Function"	Function of memory T lymphocytes	1.60E-03	"IL21R,TNFRSF9"	2
"Cellular Compromise,Inflammatory Response"	Degranulation of T lymphocytes	1.60E-03	"STX11,TNFRSF9"	2
"Drug Metabolism,Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Synthesis of alitretinoin	1.60E-03	"DHRS9,RDH16"	2
"Endocrine System Development and Function,Lipid Metabolism,Small Molecule Biochemistry"	Conversion of dihydrotestosterone	1.60E-03	"HSD17B6,RDH16"	2
Carbohydrate Metabolism	Activation of polysaccharide	1.60E-03	"LY96,VTN"	2
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Activation of lymphocytes	1.80E-03	"DAPP1,IL21R,ITGB2,NR4A3,PDCD1LG2,PLP1,SAA1,STX11,TNFRSF9,ULBP2,VIPR2"	11
"Cancer,Organismal Injury and Abnormalities"	Genitourinary adenocarcinoma	1.85E-03	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ASB2,ATP13A4,ATP6V0A4,AZGP1,C1QTNF2,CACNA1A,CRABP1,CRTAC1,DAB2,DDIT4,DHRS9,DYDC1,ERG,FBLN5,FLG2,GBX1,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,IZUMO4,JPH2,KCNB1,KCNK9,LRRC15,LY96,MAP6,MUC1,MYH2,NMNAT2,NR4A3,OLR1,OPN1SW,OTOP1,PLP1,PRR9,RAET1G,RASGRP3,RTP4,RYR3,SAA1,SCIN,SH2D1B,SIRPB2,SLC18A3,SLC7A7,SLCO5A1,SMPDL3B,STOML3,SYT17,SYTL2,TEX15,TGM1,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,UBE2QL1,VIPR2,VSIG1,VTN,VWA5B1,WSCD2,ZMYND15"	70
"Hematological Disease,Metabolic Disease,Organismal Injury and Abnormalities"	Dyslipidemia	1.87E-03	"ABCA8,CTSS,DAB2,GPD1,NR4A3,RXRG"	6
Immunological Disease	Delayed hypersensitive reaction	1.89E-03	"IL21R,ITGB2,PLP1,TNFRSF9,VIPR2"	5
Molecular Transport	Transport of ion	1.90E-03	"ATP13A4,ATP6V0A4,CA13,CACNA1A,KCNB1,KCNG3,KCNK9,OTOP1,RYR3,SLC18A3,STOML3,SYTL2"	12
"Organismal Injury and Abnormalities,Respiratory Disease"	Edema of lung	2.06E-03	"CA13,ERG,OLR1,VTN"	4
"Lymphoid Tissue Structure and Development,Tissue Morphology"	Quantity of lymphatic system cells	2.13E-03	"CTSS,DAPP1,EBI3,FOSB,IL21R,IL31RA,ITGB2,KLHL6,MUC1,PDCD1LG2,PLP1,RASGRP3,RFTN1,SAA1,TNFRSF9,VIPR2"	16
"Hematological System Development and Function,Tissue Morphology"	Quantity of leukocytes	2.28E-03	"BIRC3,CACNA1A,CTSS,DAPP1,EBI3,FOSB,IL21R,ITGB2,KLHL6,MUC1,PDCD1LG2,PLP1,RASGRP3,SAA1,STX11,TNFRSF9,VIPR2,VTN"	18
"Cell-mediated Immune Response,Lymphoid Tissue Structure and Development"	Frequency of T lymphocytes	2.33E-03	"EBI3,IL21R,RASGRP3,TNFRSF9"	4
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Quantity of retinyl ester	2.33E-03	"ABCA4,RDH16"	2
"Cell Death and Survival,Skeletal and Muscular Disorders"	Cell death of myofiber	2.33E-03	"CTSS,SLC18A3"	2
"Cell-mediated Immune Response,Lymphoid Tissue Structure and Development"	Frequency of CD8+ T lymphocyte	2.33E-03	"IL21R,TNFRSF9"	2
Cell-To-Cell Signaling and Interaction	Binding of bacteria	2.43E-03	"ITGB2,MUC1,VTN"	3
"Endocrine System Disorders,Gastrointestinal Disease,Metabolic Disease,Organismal Injury and Abnormalities"	Diabetes mellitus	2.51E-03	"ACE2,ARHGDIG,ASB2,AZGP1,CA13,CACNA1A,CTSS,FBP1,GPR1,HCP5,IL21R,ITGB2,MOBP,NR4A3,OLR1,OPN1SW,PDCD1LG2,RDH16,RTP4,RYR3,SH2D1B,TNFRSF9"	22
Cell-To-Cell Signaling and Interaction	Attachment of myeloid cells	2.74E-03	"ITGB2,OLR1"	2
"Cancer,Organismal Injury and Abnormalities"	Neoplasia of cells	2.84E-03	"ABCA4,ADAMTS14,ARHGDIG,ART5,ATP13A4,ATP6V0A4,BIRC3,C1QTNF2,CACNA1A,CRTAC1,DAAM1,DAB2,DNAJC12,EBI3,EMILIN2,ERG,FBLN5,FBP1,FLG2,GBX1,GJB4,GRPR,HHLA2,HOXD1,HSD17B6,IL21R,IL31RA,ITGB2,IZUMO4,JPH2,KCNK9,KLHL6,KRT23,KRTAP2-3/KRTAP2-4,LCE1F,LOR,MAB21L4,MUC1,MYH2,NR4A3,OTOP1,PDCD1LG2,PLP1,RAET1G,RAET1L,RASGRP3,RFTN1,RXRG,RYR3,SLC7A7,SLCO5A1,SMPDL3B,STOML3,STX11,SYTL2,TENT5C,TEX14,TEX15,TMPRSS7,TNFAIP8L3,TNFRSF9,UBD,UBE2QL1,VSIG1,VTN"	65
Cell Death and Survival	Cytolysis of leukocytes	2.93E-03	"IL21R,ITGB2,SH2D1B,STX11"	4
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Activation of leukocytes	3.11E-03	"CTSS,DAPP1,IL21R,ITGB2,LY96,NR4A3,PDCD1LG2,PLP1,SAA1,STX11,TNFRSF9,ULBP2,VIPR2,VTN"	14
"Cell-To-Cell Signaling and Interaction,Cellular Compromise,Cellular Function and Maintenance,Inflammatory Response"	Respiratory burst of phagocytes	3.12E-03	"ITGB2,TNFRSF9,VTN"	3
"Endocrine System Disorders,Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities"	Insulitis	3.12E-03	"CTSS,ITGB2,PDCD1LG2"	3
"Drug Metabolism,Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Synthesis of tretinoin	3.19E-03	"DHRS9,RDH16"	2
"Drug Metabolism,Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Concentration of tretinoin	3.19E-03	"CRABP1,OLR1"	2
Molecular Transport	Transmembrane transport of ion	3.24E-03	"ATP13A4,ATP6V0A4,OTOP1,RYR3,STOML3"	5
"Cellular Function and Maintenance,Hematological System Development and Function"	Function of T lymphocytes	3.62E-03	"BIRC3,CTSS,EBI3,IL21R,PDCD1LG2,STX11,TNFRSF9"	7
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking"	Attachment of phagocytes	3.66E-03	"ITGB2,OLR1"	2
Cell Morphology	Shape change of antigen presenting cells	3.66E-03	"ASB2,VTN"	2
"Cell-To-Cell Signaling and Interaction,Inflammatory Response"	Respiratory burst of myeloid cells	4.13E-03	"ITGB2,TNFRSF9,VTN"	3
"Hematological System Development and Function,Tissue Morphology"	Quantity of myeloid cells	4.22E-03	"BIRC3,CACNA1A,CTSS,EBI3,IL21R,ITGB2,PLP1,STX11,TNFRSF9,VIPR2,VTN"	11
"Dermatological Diseases and Conditions,Developmental Disorder,Organismal Injury and Abnormalities"	Congenital anomaly of skin	4.28E-03	"CACNA1A,FBLN5,GJB4,KRT83,LOR"	5
Molecular Transport	Transport of cation	4.38E-03	"ATP6V0A4,CACNA1A,KCNB1,KCNG3,KCNK9,OTOP1,RYR3,SLC18A3,SYTL2"	9
"Cell-To-Cell Signaling and Interaction,Inflammatory Response"	Immune response of antigen presenting cells	4.49E-03	"CTSS,ITGB2,LY96,MUC1,SAA1,VTN"	6
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Response of helper T lymphocytes	4.59E-03	"IL21R,PDCD1LG2,PLP1"	3
Cellular Compromise	Stress response of kidney cell lines	4.71E-03	"HSPB2,OPN1SW"	2
Hematological Disease	Pancytopenia	4.71E-03	"ERG,STX11"	2
"Endocrine System Disorders,Gastrointestinal Disease,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease"	Early stage diabetic nephropathy	4.71E-03	"ACE2,CA13"	2
"Cancer,Organismal Injury and Abnormalities"	Neck neoplasm	5.16E-03	"ABCA4,ABCA8,ACE2,ADAMTS14,ANKRD1,ARHGDIG,ART5,ASB2,ATP13A4,ATP6V0A4,AZGP1,BIRC3,C11orf96,C1QTNF2,CACNA1A,CRABP1,CRTAC1,CYP2J2,DAAM1,DAB2,DAPP1,DHRS2,EBI3,EMILIN2,ERG,FAM133A,FBLN5,FBP1,FLG2,GBX1,GFRA3,GGTLC2,GPD1,GRPR,HOXD1,HSD17B6,IHH,IL21R,IL31RA,ISM2,ITGB2,IZUMO4,JPH2,KCNB1,KCNG3,KLHL6,KRT23,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,LCE1E,LCE1F,LIPH,LOR,MAB21L4,MAP6,MOBP,MUC1,MYH2,NR4A3,OPN1SW,OTOP1,PDCD1LG2,RAET1G,RAET1L,RASGRP3,RASL10A,RDH16,RFTN1,RFX8,RYR3,SCEL,SCIN,SH2D1B,SLCO5A1,SMPDL3B,SPINK2,STX11,SYT17,SYTL2,TEX14,TEX15,TGM4,TMPRSS7,TNFAIP8L3,TNFRSF9,TP53I3,TSPAN11,UBE2QL1,ULBP2,VIPR2,VTN,VWA5B1,WSCD2,ZMYND15"	95
Inflammatory Response	Cell-mediated response	5.22E-03	"EBI3,MUC1,PDCD1LG2,SH2D1B,STX11,TNFRSF9"	6
"Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development"	Proliferative capacity of regulatory T lymphocytes	5.32E-03	"IL21R,PLP1,TNFRSF9"	3
Cell Death and Survival	Cytolysis of natural killer cells	5.58E-03	"IL21R,SH2D1B,STX11"	3
"Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities"	Autosomal dominant maculopathy	5.87E-03	"ABCA4,FBLN5"	2
"Cell Death and Survival,Organismal Injury and Abnormalities"	Anoikis of epithelial cell lines	5.87E-03	"BIRC3,VTN"	2
"Cardiovascular Disease,Organismal Injury and Abnormalities"	Binding of blood clot	6.08E-03	VTN	1
